adm_cd,adm_nm,year,tot_ppltn,ppltn_dnsty,avg_age,tot_family,tot_house,employee_cnt,corp_cnt,ewkt
21010510,중앙동,2024,4108,5038.7,45.3,2220,510,39863,5169,"SRID=4326;MULTIPOLYGON(((129.0387133 35.1118415, 129.0400255 35.1114469, 129.0400268 35.1114465, 129.0400549 35.1114381, 129.0400932 35.1114266, 129.0416000 35.1109690, 129.0412184 35.1102048, 129.0408742 35.1095155, 129.0411389 35.1086890, 129.0411981 35.1086669, 129.0440312 35.1076082, 129.0441835 35.1064562, 129.0422527 35.1058822, 129.0408639 35.1051651, 129.0425386 35.1041200, 129.0435835 35.1034594, 129.0435995 35.1033892, 129.0425418 35.1022464, 129.0420010 35.1016631, 129.0419961 35.1016601, 129.0397768 35.0999997, 129.0380745 35.0972485, 129.0379330 35.0970792, 129.0377814 35.0969358, 129.0376501 35.0968260, 129.0376191 35.0968060, 129.0375177 35.0967410, 129.0373896 35.0966643, 129.0372753 35.0966059, 129.0371853 35.0965614, 129.0370965 35.0965247, 129.0369289 35.0964635, 129.0360784 35.0962541, 129.0360247 35.0962422, 129.0359379 35.0974969, 129.0359227 35.0985064, 129.0356883 35.1000842, 129.0355164 35.1003084, 129.0353441 35.1005400, 129.0353435 35.1005408, 129.0350387 35.1010465, 129.0349993 35.1011243, 129.0348525 35.1015197, 129.0347756 35.1017846, 129.0347207 35.1020441, 129.0346976 35.1021931, 129.0346176 35.1027680, 129.0345579 35.1040495, 129.0346910 35.1049700, 129.0349993 35.1068402, 129.0350843 35.1070077, 129.0363434 35.1090145, 129.0382190 35.1119906, 129.0387133 35.1118415)))"
21010520,동광동,2024,2651,16356,52.5,1432,937,3214,761,"SRID=4326;MULTIPOLYGON(((129.0361086 35.1091098, 129.0363434 35.1090145, 129.0350843 35.1070077, 129.0349993 35.1068402, 129.0346910 35.1049700, 129.0345579 35.1040495, 129.0346176 35.1027680, 129.0346976 35.1021931, 129.0347207 35.1020441, 129.0347756 35.1017846, 129.0348525 35.1015197, 129.0349993 35.1011243, 129.0350387 35.1010465, 129.0353435 35.1005408, 129.0353441 35.1005400, 129.0355164 35.1003084, 129.0356883 35.1000842, 129.0359227 35.0985064, 129.0359379 35.0974969, 129.0352534 35.0982241, 129.0353830 35.0983344, 129.0354106 35.0987218, 129.0354083 35.0993233, 129.0354073 35.0993267, 129.0353528 35.0995119, 129.0349139 35.0997122, 129.0342173 35.0992697, 129.0340302 35.0991900, 129.0339583 35.0991672, 129.0339338 35.0991596, 129.0339120 35.0991531, 129.0335586 35.0990857, 129.0331184 35.1002456, 129.0330066 35.1007313, 129.0328531 35.1019525, 129.0332495 35.1019499, 129.0337198 35.1019491, 129.0344425 35.1042353, 129.0344493 35.1042620, 129.0345187 35.1045682, 129.0346712 35.1055216, 129.0346816 35.1056306, 129.0346856 35.1056770, 129.0346218 35.1058398, 129.0332202 35.1077765, 129.0323669 35.1085102, 129.0343114 35.1088177, 129.0361086 35.1091098)))"
21010530,대청동,2024,5543,15563.5,51.5,3094,2386,3581,774,"SRID=4326;MULTIPOLYGON(((129.0297877 35.1087589, 129.0323669 35.1085102, 129.0332202 35.1077765, 129.0346218 35.1058398, 129.0346856 35.1056770, 129.0346816 35.1056306, 129.0346712 35.1055216, 129.0345187 35.1045682, 129.0344493 35.1042620, 129.0344425 35.1042353, 129.0337198 35.1019491, 129.0332495 35.1019499, 129.0328531 35.1019525, 129.0287764 35.1027255, 129.0278709 35.1026210, 129.0278711 35.1029523, 129.0280878 35.1081943, 129.0297877 35.1087589)))"
21010540,보수동,2024,10154,24563.1,49.7,5642,4014,2908,981,"SRID=4326;MULTIPOLYGON(((129.0270611 35.1102745, 129.0275787 35.1102114, 129.0280878 35.1081943, 129.0278711 35.1029523, 129.0211906 35.1032429, 129.0223502 35.1075228, 129.0260025 35.1108316, 129.0270611 35.1102745)))"
21010560,부평동,2024,4258,18948.7,52,2333,1463,4696,2157,"SRID=4326;MULTIPOLYGON(((129.0251679 35.0979784, 129.0251676 35.0979775, 129.0245901 35.0992715, 129.0215205 35.1019403, 129.0211906 35.1032429, 129.0278711 35.1029523, 129.0278709 35.1026210, 129.0277572 35.0990177, 129.0251679 35.0979784)))"
21010570,광복동,2024,866,4121.2,54.4,433,322,4255,2015,"SRID=4326;MULTIPOLYGON(((129.0287764 35.1027255, 129.0328531 35.1019525, 129.0330066 35.1007313, 129.0331184 35.1002456, 129.0335586 35.0990857, 129.0339120 35.0991531, 129.0339338 35.0991596, 129.0339583 35.0991672, 129.0340302 35.0991900, 129.0342173 35.0992697, 129.0349139 35.0997122, 129.0353528 35.0995119, 129.0354073 35.0993267, 129.0354083 35.0993233, 129.0354106 35.0987218, 129.0353830 35.0983344, 129.0352534 35.0982241, 129.0348914 35.0981225, 129.0348741 35.0981177, 129.0346356 35.0980510, 129.0345703 35.0980368, 129.0343416 35.0979917, 129.0340737 35.0980151, 129.0339975 35.0980369, 129.0339401 35.0980532, 129.0338212 35.0980888, 129.0338124 35.0980914, 129.0333819 35.0982336, 129.0331578 35.0983081, 129.0328804 35.0984144, 129.0326798 35.0984967, 129.0323044 35.0986778, 129.0315932 35.0989313, 129.0312866 35.0990287, 129.0311997 35.0990457, 129.0298594 35.0990989, 129.0284417 35.0991330, 129.0277572 35.0990177, 129.0278709 35.1026210, 129.0287764 35.1027255)))"
21010580,남포동,2024,1040,4114,52.5,458,227,5940,2264,"SRID=4326;MULTIPOLYGON(((129.0284417 35.0991330, 129.0298594 35.0990989, 129.0311997 35.0990457, 129.0312866 35.0990287, 129.0315932 35.0989313, 129.0323044 35.0986778, 129.0326798 35.0984967, 129.0328804 35.0984144, 129.0331578 35.0983081, 129.0333819 35.0982336, 129.0338124 35.0980914, 129.0338212 35.0980888, 129.0339401 35.0980532, 129.0339975 35.0980369, 129.0340737 35.0980151, 129.0343416 35.0979917, 129.0345703 35.0980368, 129.0346356 35.0980510, 129.0348741 35.0981177, 129.0348914 35.0981225, 129.0352534 35.0982241, 129.0359379 35.0974969, 129.0360247 35.0962422, 129.0343173 35.0967263, 129.0308785 35.0963931, 129.0289221 35.0959601, 129.0265557 35.0953970, 129.0251676 35.0979775, 129.0251679 35.0979784, 129.0277572 35.0990177, 129.0284417 35.0991330)))"
21010590,영주1동,2024,4706,21777.5,48.6,2629,1703,2550,592,"SRID=4326;MULTIPOLYGON(((129.0336170 35.1155302, 129.0337545 35.1154560, 129.0338104 35.1154259, 129.0339780 35.1153273, 129.0342671 35.1151245, 129.0344000 35.1150158, 129.0356357 35.1139805, 129.0359927 35.1136283, 129.0360731 35.1135475, 129.0361186 35.1134846, 129.0361178 35.1134827, 129.0361007 35.1134404, 129.0360188 35.1134021, 129.0359826 35.1133852, 129.0360661 35.1132106, 129.0360937 35.1131530, 129.0364872 35.1128560, 129.0378092 35.1121687, 129.0382190 35.1119906, 129.0363434 35.1090145, 129.0361086 35.1091098, 129.0343114 35.1088177, 129.0347475 35.1090821, 129.0347982 35.1091181, 129.0348029 35.1091320, 129.0346782 35.1094624, 129.0346575 35.1095040, 129.0346067 35.1095720, 129.0336707 35.1106228, 129.0327725 35.1111093, 129.0324189 35.1114365, 129.0324201 35.1115390, 129.0330925 35.1149405, 129.0332099 35.1153993, 129.0336170 35.1155302)))"
21010600,영주2동,2024,6273,14628.7,53.9,3127,2638,1654,324,"SRID=4326;MULTIPOLYGON(((129.0323093 35.1164308, 129.0328324 35.1161599, 129.0332099 35.1153993, 129.0330925 35.1149405, 129.0324201 35.1115390, 129.0324189 35.1114365, 129.0327725 35.1111093, 129.0336707 35.1106228, 129.0346067 35.1095720, 129.0346575 35.1095040, 129.0346782 35.1094624, 129.0348029 35.1091320, 129.0347982 35.1091181, 129.0347475 35.1090821, 129.0343114 35.1088177, 129.0323669 35.1085102, 129.0297877 35.1087589, 129.0280878 35.1081943, 129.0275787 35.1102114, 129.0280644 35.1123961, 129.0280645 35.1123970, 129.0280900 35.1130843, 129.0279349 35.1144754, 129.0278249 35.1147162, 129.0276145 35.1151762, 129.0275048 35.1154156, 129.0274721 35.1154866, 129.0274470 35.1155410, 129.0293320 35.1162561, 129.0323093 35.1164308)))"
21020510,동대신1동,2024,5144,22292.4,48.4,2481,2025,1122,442,"SRID=4326;MULTIPOLYGON(((129.0246387 35.1124273, 129.0260025 35.1108316, 129.0223502 35.1075228, 129.0201791 35.1076243, 129.0178780 35.1100408, 129.0246387 35.1124273)))"
21020520,동대신2동,2024,6334,14548.4,54.1,3064,2527,1439,522,"SRID=4326;MULTIPOLYGON(((129.0255454 35.1168039, 129.0259249 35.1167377, 129.0274470 35.1155410, 129.0274721 35.1154866, 129.0275048 35.1154156, 129.0276145 35.1151762, 129.0278249 35.1147162, 129.0279349 35.1144754, 129.0280900 35.1130843, 129.0280645 35.1123970, 129.0280644 35.1123961, 129.0275787 35.1102114, 129.0270611 35.1102745, 129.0260025 35.1108316, 129.0246387 35.1124273, 129.0178780 35.1100408, 129.0165526 35.1124795, 129.0167113 35.1125355, 129.0171448 35.1126929, 129.0204717 35.1139098, 129.0205544 35.1139402, 129.0206715 35.1139837, 129.0210294 35.1141181, 129.0210427 35.1141461, 129.0210138 35.1141950, 129.0209884 35.1142440, 129.0207872 35.1146319, 129.0207404 35.1147222, 129.0219899 35.1162091, 129.0220503 35.1162755, 129.0225594 35.1167845, 129.0225856 35.1167837, 129.0233195 35.1167041, 129.0237335 35.1165638, 129.0240358 35.1164925, 129.0241739 35.1164903, 129.0242933 35.1164892, 129.0252606 35.1165134, 129.0253539 35.1165757, 129.0253892 35.1166008, 129.0255454 35.1168039)))"
21020530,동대신3동,2024,7019,4778.5,48.1,3586,2848,4727,674,"SRID=4326;MULTIPOLYGON(((129.0254059 35.1205950, 129.0243032 35.1187925, 129.0244177 35.1184776, 129.0245718 35.1180574, 129.0246423 35.1178697, 129.0249536 35.1175880, 129.0254849 35.1171115, 129.0259249 35.1167377, 129.0255454 35.1168039, 129.0253892 35.1166008, 129.0253539 35.1165757, 129.0252606 35.1165134, 129.0242933 35.1164892, 129.0241739 35.1164903, 129.0240358 35.1164925, 129.0237335 35.1165638, 129.0233195 35.1167041, 129.0225856 35.1167837, 129.0225594 35.1167845, 129.0220503 35.1162755, 129.0219899 35.1162091, 129.0207404 35.1147222, 129.0207872 35.1146319, 129.0209884 35.1142440, 129.0210138 35.1141950, 129.0210427 35.1141461, 129.0210294 35.1141181, 129.0206715 35.1139837, 129.0205544 35.1139402, 129.0204717 35.1139098, 129.0171448 35.1126929, 129.0167113 35.1125355, 129.0165526 35.1124795, 129.0151926 35.1149987, 129.0171964 35.1157680, 129.0173519 35.1158300, 129.0174217 35.1158665, 129.0163545 35.1175089, 129.0162190 35.1176376, 129.0179732 35.1218367, 129.0180217 35.1219606, 129.0181664 35.1223333, 129.0183267 35.1227519, 129.0186047 35.1236768, 129.0186065 35.1236828, 129.0186964 35.1239819, 129.0187107 35.1240296, 129.0189457 35.1248216, 129.0188292 35.1250430, 129.0187074 35.1252744, 129.0190444 35.1264097, 129.0210325 35.1324667, 129.0212250 35.1330507, 129.0222173 35.1351547, 129.0223177 35.1353670, 129.0224100 35.1355607, 129.0225572 35.1358687, 129.0229911 35.1366000, 129.0256299 35.1356614, 129.0260427 35.1313654, 129.0260098 35.1249185, 129.0257971 35.1233092, 129.0250880 35.1217393, 129.0254059 35.1205950)))"
21020540,서대신1동,2024,14540,23046.9,44.6,6451,5512,3191,951,"SRID=4326;MULTIPOLYGON(((129.0122296 35.1109517, 129.0165526 35.1124795, 129.0178780 35.1100408, 129.0201791 35.1076243, 129.0197808 35.1076292, 129.0171441 35.1077507, 129.0155009 35.1068106, 129.0152650 35.1065454, 129.0150552 35.1062972, 129.0142561 35.1053473, 129.0141214 35.1051851, 129.0140362 35.1048255, 129.0111857 35.1053855, 129.0104835 35.1056941, 129.0076007 35.1081855, 129.0054154 35.1097179, 129.0049817 35.1098455, 129.0046642 35.1099390, 129.0043272 35.1102400, 129.0035472 35.1112553, 129.0038888 35.1110058, 129.0043305 35.1109178, 129.0044690 35.1108902, 129.0088778 35.1108233, 129.0097169 35.1109087, 129.0097556 35.1109174, 129.0106343 35.1120593, 129.0119327 35.1115856, 129.0122296 35.1109517)))"
