osm_id,highway,name,bicycle,foot,surface,segregated,width,ewkt
153201627,cycleway,동천강자전거도로,,,,,,"SRID=4326;LINESTRING(129.3448830 35.6328554, 129.3447666 35.6329949, 129.3447092 35.6330540, 129.3446728 35.6330985, 129.3444377 35.6334908, 129.3441442 35.6339653, 129.3439235 35.6343298, 129.3431628 35.6351725, 129.3427606 35.6356125, 129.3422594 35.6361616, 129.3417408 35.6367203, 129.3414252 35.6370870, 129.3411883 35.6373595, 129.3409860 35.6376380, 129.3407530 35.6380076, 129.3405310 35.6384175, 129.3403312 35.6387624, 129.3402310 35.6388570, 129.3401109 35.6390006, 129.3400397 35.6391296, 129.3400090 35.6392267, 129.3399927 35.6393018, 129.3399949 35.6393663, 129.3399931 35.6393725, 129.3399756 35.6394329, 129.3396117 35.6401687, 129.3391547 35.6410344, 129.3389519 35.6414447, 129.3387769 35.6418789, 129.3385947 35.6423234, 129.3384385 35.6426861, 129.3382871 35.6430778, 129.3381265 35.6434684, 129.3380066 35.6437966, 129.3379535 35.6439951, 129.3379162 35.6442520, 129.3378999 35.6444930, 129.3379171 35.6446969, 129.3379597 35.6449127, 129.3380178 35.6451561, 129.3381370 35.6454919, 129.3382248 35.6457266)"
156594649,cycleway,,,,,,,"SRID=4326;LINESTRING(129.3504842 35.6054514, 129.3505517 35.6054213, 129.3506623 35.6054142, 129.3525445 35.6054940, 129.3528404 35.6055525, 129.3531636 35.6056209)"
156594650,cycleway,,,,,,,"SRID=4326;LINESTRING(129.3436432 35.6321741, 129.3436821 35.6320871, 129.3437088 35.6320354, 129.3442849 35.6313129, 129.3442905 35.6312954, 129.3442910 35.6312788, 129.3442786 35.6312632, 129.3442548 35.6312484, 129.3440822 35.6312103, 129.3440680 35.6311985, 129.3440681 35.6311817)"
156594654,cycleway,동천 자전거길,,,,,,"SRID=4326;LINESTRING(129.3508190 35.5567687, 129.3508102 35.5569836, 129.3508305 35.5570861, 129.3508885 35.5572512, 129.3510241 35.5576234, 129.3511800 35.5579268, 129.3512665 35.5580746, 129.3514212 35.5583101, 129.3515400 35.5584418, 129.3517124 35.5585873, 129.3518625 35.5586879, 129.3520490 35.5587940, 129.3527818 35.5591890, 129.3531969 35.5594156, 129.3533409 35.5595070, 129.3534818 35.5596357, 129.3536430 35.5598030, 129.3537740 35.5599641, 129.3538627 35.5601372, 129.3539228 35.5602818, 129.3539758 35.5604116)"
156594657,cycleway,,,,,,,"SRID=4326;LINESTRING(129.3527175 35.5698376, 129.3531161 35.5697611)"
156594659,cycleway,,,,,,,"SRID=4326;LINESTRING(129.3516999 35.5778141, 129.3518543 35.5778487)"
156594660,cycleway,,,,,,,"SRID=4326;LINESTRING(129.3440681 35.6311817, 129.3442327 35.6309237)"
156594664,cycleway,동천강자전거도로,,,,,,"SRID=4326;LINESTRING(129.3520177 35.6180080, 129.3520337 35.6175743, 129.3520135 35.6169813, 129.3519981 35.6163552, 129.3519851 35.6160924, 129.3519399 35.6157074, 129.3514697 35.6128056, 129.3513919 35.6123032, 129.3513434 35.6119706, 129.3512177 35.6110748, 129.3511444 35.6105400, 129.3509683 35.6092943)"
156594665,cycleway,동천강자전거도로,,,,,,"SRID=4326;LINESTRING(129.3477086 35.6296275, 129.3477413 35.6296239, 129.3477683 35.6296145, 129.3477950 35.6295976, 129.3479527 35.6294525, 129.3480419 35.6293704, 129.3483770 35.6289923, 129.3486316 35.6286538, 129.3490571 35.6280917, 129.3494850 35.6274556, 129.3498048 35.6269099, 129.3501138 35.6263101, 129.3504532 35.6256092, 129.3504813 35.6255385, 129.3504972 35.6254852, 129.3505081 35.6254137, 129.3505278 35.6253335, 129.3505326 35.6253152, 129.3505586 35.6252514, 129.3506083 35.6251418, 129.3506291 35.6251120, 129.3506529 35.6250857, 129.3507222 35.6250165, 129.3507628 35.6249635, 129.3508471 35.6247932, 129.3508872 35.6247369)"
156594666,cycleway,,,,,,,"SRID=4326;LINESTRING(129.3504842 35.6054514, 129.3504532 35.6049660)"
