보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
기장읍1675,1,,부산광역시 기장군 기장읍 대변리,35.2248096,129.2312954,2019,건축물,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1676,1,,부산광역시 기장군 기장읍 대라리,35.2364706,129.2023917,,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1691,1,,부산광역시 기장군 기장읍 대라리,35.2364706,129.2023917,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1692,1,,부산광역시 기장군 기장읍 대라리,35.2364706,129.2023917,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
일광면923,1,,부산광역시 기장군 일광읍 칠암리,35.2992141,129.2561831,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
일광면952,1,,부산광역시 기장군 일광읍 용천리 167초입,35.2905014,129.2126912,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
일광면984,1,,부산광역시 기장군 일광읍 횡계리 90번지 옆,35.2724399,129.2247373,2020,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
장안읍1264,1,,부산광역시 기장군 장안읍 임랑리,35.3196041,129.2565582,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
장안읍1271,1,,부산광역시 기장군 장안읍 좌천리,35.3168574,129.2366454,,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
장안읍덕선리-100,1,,부산광역시 기장군 장안읍 덕선리 산 205-9,35.3298749,129.2225007,2018,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
정관읍679,1,,부산광역시 기장군 정관읍 용수리 용수1길 16-26,35.3301955,129.175391,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
철마면715,1,,부산광역시 기장군 철마면 임기리,35.3267772,129.1363843,,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
범일동0002,1,부산광역시 동구 안창로92번길 60,부산광역시 동구 범일동 산65-121,35.1420132,129.0393597,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0003,1,부산광역시 동구 안창로92번길 53,부산광역시 동구 범일동 산65-121,35.1422651,129.0394901,,,051-440-4674,부산광역시 동구청,2026-06-25
