보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
가덕도동039,1,,부산광역시 강서구 눌차동 796-8,35.07328616,128.8397788,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동040,1,,부산광역시 강서구 눌차동 797-13,35.07344257,128.8397581,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동041,1,,부산광역시 강서구 눌차동 790,35.07288112,128.8399593,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동042,1,,부산광역시 강서구 눌차동 773,35.0726684,128.8400148,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동043,1,,부산광역시 강서구 눌차동 767-1,35.07238762,128.8399826,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동044,1,,부산광역시 강서구 눌차동 764,35.07235852,128.8396141,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동045,1,,부산광역시 강서구 눌차동 761,35.07235948,128.8393136,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동046,1,,부산광역시 강서구 눌차동 789-72,35.07286267,128.8406301,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동047,1,,부산광역시 강서구 눌차동 789-81,35.0725967,128.8408931,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동048,1,,부산광역시 강서구 눌차동 789-12,35.07251805,128.8402358,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동049,1,,부산광역시 강서구 눌차동 789-28,35.07230424,128.8405241,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동050,1,,부산광역시 강서구 눌차동 693,35.07200852,128.8402703,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동051,1,,부산광역시 강서구 눌차동 692-12,35.07200219,128.8405395,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동052,1,,부산광역시 강서구 눌차동 692-15,35.07157492,128.8407134,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동053,1,,부산광역시 강서구 눌차동 789-66,35.07238797,128.8408512,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동054,1,,부산광역시 강서구 눌차동 789-87,35.07194526,128.8411449,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동055,1,,부산광역시 강서구 눌차동 789-76,35.07158164,128.8414055,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동056,1,,부산광역시 강서구 눌차동 691-27,35.07104137,128.8411918,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동057,1,,부산광역시 강서구 눌차동 691-29,35.07041411,128.8414693,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동058,1,,부산광역시 강서구 눌차동 595-11,35.07006489,128.8418258,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동059,1,,부산광역시 강서구 눌차동 595-1,35.07033794,128.841249,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동060,1,,부산광역시 강서구 눌차동 595-1,35.07033794,128.841249,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동061,1,,부산광역시 강서구 눌차동 596-1,35.07093896,128.8408646,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동062,1,,부산광역시 강서구 눌차동 789-39,35.07146581,128.840975,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동063,1,,부산광역시 강서구 눌차동 429,35.06900347,128.8415027,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동064,1,,부산광역시 강서구 눌차동 427-2,35.06872532,128.8416891,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동065,1,,부산광역시 강서구 눌차동 429-1,35.06840657,128.8415927,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동066,1,,부산광역시 강서구 눌차동 297,35.06863036,128.8423767,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동067,1,,부산광역시 강서구 눌차동 431-1,35.06810936,128.8409701,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동068,1,,부산광역시 강서구 눌차동 431-1,35.06810936,128.8409701,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동069,1,,부산광역시 강서구 눌차동 406-2,35.0692508,128.8437697,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동070,1,,부산광역시 강서구 눌차동 402-1,35.06912633,128.8447989,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동071,1,,부산광역시 강서구 눌차동 402-11,35.06913723,128.8449822,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동072,1,,부산광역시 강서구 눌차동 402,35.06897173,128.8455565,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동073,1,,부산광역시 강서구 눌차동 402-2,35.06893294,128.8459949,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동074,1,,부산광역시 강서구 눌차동 399,35.06862517,128.8467284,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동075,1,,부산광역시 강서구 눌차동 87-1,35.06859604,128.8472374,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동076,1,,부산광역시 강서구 눌차동 87-1,35.06859604,128.8472374,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동077,1,,부산광역시 강서구 눌차동 87-2,35.0684171,128.8488136,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동078,1,,부산광역시 강서구 눌차동 87-3,35.06855137,128.8500663,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동079,1,,부산광역시 강서구 눌차동 832,35.06854859,128.8501418,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동087,1,,부산광역시 강서구 눌차동 834,35.06884544,128.8540939,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동088,1,,부산광역시 강서구 눌차동 834,35.06884544,128.8540939,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동089,1,,부산광역시 강서구 눌차동 18-1,35.06870893,128.8533692,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동090,1,,부산광역시 강서구 눌차동 16,35.06881512,128.8537213,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동091,1,,부산광역시 강서구 눌차동 834,35.06884544,128.8540939,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동092,1,,부산광역시 강서구 눌차동 14-2,35.0686107,128.8549637,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동093,1,,부산광역시 강서구 눌차동 14-2,35.0686107,128.8549637,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동094,1,,부산광역시 강서구 눌차동 14-31,35.06859511,128.8550099,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동095,1,,부산광역시 강서구 눌차동 10-1,35.0684787,128.8549096,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동096,1,,부산광역시 강서구 눌차동 14-31,35.06859511,128.8550099,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동097,1,,부산광역시 강서구 눌차동 6-2,35.06787185,128.8550178,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동098,1,,부산광역시 강서구 눌차동 6-3,35.06758743,128.8552605,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동099,1,,부산광역시 강서구 눌차동 3-1,35.067356,128.8553936,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동100,1,,부산광역시 강서구 눌차동 산 84-7,35.0688084,128.8373728,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동101,1,,부산광역시 강서구 눌차동 562-21,35.06720326,128.8374853,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동102,1,,부산광역시 강서구 눌차동 562-3,35.06725228,128.8375375,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동103,1,,부산광역시 강서구 눌차동 산 84-6,35.06787465,128.8372629,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동104,1,,부산광역시 강서구 눌차동 560-2,35.06742624,128.838483,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동105,1,,부산광역시 강서구 눌차동 554-1,35.06739936,128.8391919,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동106,1,,부산광역시 강서구 눌차동 554-1,35.06739936,128.8391919,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동108,1,,부산광역시 강서구 눌차동 562-15,35.06729891,128.8385279,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동109,1,,부산광역시 강서구 눌차동 554-21,35.06727284,128.8387709,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동110,1,,부산광역시 강서구 눌차동 554-31,35.06721495,128.8393109,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동111,1,,부산광역시 강서구 눌차동 554-27,35.06697997,128.8394365,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동112,1,,부산광역시 강서구 눌차동 554-27,35.06697997,128.8394365,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동113,1,,부산광역시 강서구 눌차동 510,35.06732252,128.8401142,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동114,1,,부산광역시 강서구 눌차동 841-2,35.06673808,128.8406175,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동115,1,,부산광역시 강서구 눌차동 496,35.06785015,128.8406148,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동116,1,,부산광역시 강서구 눌차동 522,35.06818711,128.8403539,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동117,1,,부산광역시 강서구 눌차동 504-1,35.06726644,128.8402937,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동118,1,,부산광역시 강서구 눌차동 490,35.06737221,128.8408541,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동119,1,,부산광역시 강서구 눌차동 484-8,35.06684825,128.8404455,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동120,1,,부산광역시 강서구 눌차동 484-8,35.06684825,128.8404455,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동121,1,,부산광역시 강서구 눌차동 481-12,35.06617042,128.8404893,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동122,1,,부산광역시 강서구 눌차동 468-4,35.06552842,128.8404918,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동123,1,,부산광역시 강서구 눌차동 841-2,35.06673808,128.8406175,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동124,1,,부산광역시 강서구 눌차동 841-2,35.06673808,128.8406175,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동125,1,,부산광역시 강서구 눌차동 218-20,35.06459863,128.8411402,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동126,1,,부산광역시 강서구 눌차동 218-4,35.06477796,128.8424751,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동127,1,,부산광역시 강서구 눌차동 218-4,35.06477796,128.8424751,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동128,1,,부산광역시 강서구 눌차동 212-4,35.06454724,128.8421552,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동129,1,,부산광역시 강서구 눌차동 212-22,35.06423389,128.8420989,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동130,1,,부산광역시 강서구 눌차동 212-7,35.06453053,128.8423354,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동131,1,,부산광역시 강서구 눌차동 223,35.06510895,128.8421828,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동132,1,,부산광역시 강서구 눌차동 212-1,35.06451971,128.8423833,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동133,1,,부산광역시 강서구 눌차동 211-1,35.0649494,128.8424373,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동134,1,,부산광역시 강서구 눌차동 245,35.06506357,128.8428946,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동135,1,,부산광역시 강서구 눌차동 843,35.06519891,128.8428724,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동136,1,,부산광역시 강서구 눌차동 354,35.0649647,128.8435654,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동137,1,,부산광역시 강서구 눌차동 350,35.06540556,128.8434731,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동138,1,,부산광역시 강서구 눌차동 212-11,35.06434972,128.8424858,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동139,1,,부산광역시 강서구 눌차동 226-1,35.06459372,128.8433177,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동140,1,,부산광역시 강서구 눌차동 226-29,35.06444512,128.8432795,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동141,1,,부산광역시 강서구 눌차동 190-2,35.06443807,128.8441573,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동142,1,,부산광역시 강서구 눌차동 190-1,35.06456013,128.8445623,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동143,1,,부산광역시 강서구 눌차동 359-9,35.06505136,128.8445575,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동144,1,,부산광역시 강서구 눌차동 359-6,35.06530283,128.8448275,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동145,1,,부산광역시 강서구 눌차동 194-1,35.06487228,128.8442735,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동146,1,,부산광역시 강서구 눌차동 188-1,35.06409972,128.8453977,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동147,1,,부산광역시 강서구 눌차동 159-6,35.063767,128.8463774,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동148,1,,부산광역시 강서구 눌차동 159-10,35.06332408,128.846858,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동149,1,,부산광역시 강서구 눌차동 142-1,35.06262818,128.8479276,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동150,1,,부산광역시 강서구 눌차동 141-8,35.06233697,128.8482494,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동151,1,,부산광역시 강서구 눌차동 139-1,35.06184741,128.8479503,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동152,1,,부산광역시 강서구 눌차동 140-2,35.06170603,128.8477451,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동153,1,,부산광역시 강서구 눌차동 141-2,35.06142052,128.8473045,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동154,1,,부산광역시 강서구 눌차동 141-2,35.06142052,128.8473045,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동155,1,,부산광역시 강서구 눌차동 141-6,35.06131561,128.8468933,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동156,1,,부산광역시 강서구 눌차동 141-6,35.06131561,128.8468933,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동157,1,,부산광역시 강서구 동선동 1080,35.05933543,128.8456771,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동158,1,,부산광역시 강서구 동선동 1080,35.05933543,128.8456771,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동159,1,,부산광역시 강서구 동선동 1080,35.05933543,128.8456771,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동160,1,,부산광역시 강서구 동선동 1080,35.05933543,128.8456771,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동161,1,,부산광역시 강서구 동선동 1080,35.05933543,128.8456771,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동162,1,,부산광역시 강서구 동선동 205,35.05680849,128.8463731,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동163,1,,부산광역시 강서구 동선동 203-14,35.05633152,128.8463183,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동164,1,,부산광역시 강서구 동선동 201-23,35.05582101,128.8467368,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동165,1,,부산광역시 강서구 동선동 201-20,35.05472279,128.8475337,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동166,1,,부산광역시 강서구 동선동 201-25,35.05463208,128.8478771,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동167,1,,부산광역시 강서구 동선동 201-26,35.05500247,128.8481439,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동168,1,,부산광역시 강서구 동선동 201-26,35.05500247,128.8481439,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동169,1,,부산광역시 강서구 동선동 201-26,35.05500247,128.8481439,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동170,1,,부산광역시 강서구 동선동 산 3-14,35.05594242,128.8458989,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동171,1,,부산광역시 강서구 동선동 산 3-14,35.05594242,128.8458989,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동172,1,,부산광역시 강서구 동선동 산 3-13,35.05601017,128.8459392,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동173,1,,부산광역시 강서구 동선동 199-19,35.05558448,128.8450783,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동174,1,,부산광역시 강서구 동선동 199-7,35.05550714,128.8446082,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동175,1,,부산광역시 강서구 동선동 197-2,35.05527062,128.8438211,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동176,1,,부산광역시 강서구 동선동 197-1,35.05518726,128.8434757,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동177,1,,부산광역시 강서구 동선동 190,35.05490958,128.8430499,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동178,1,,부산광역시 강서구 동선동 191-2,35.05453822,128.842881,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동179,1,,부산광역시 강서구 동선동 189,35.05434367,128.8425656,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동180,1,,부산광역시 강서구 동선동 186-1,35.05427216,128.8424321,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동181,1,,부산광역시 강서구 동선동 183,35.05393893,128.8422857,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동182,1,,부산광역시 강서구 동선동 179,35.05311789,128.842187,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동183,1,,부산광역시 강서구 동선동 119-7,35.05392038,128.8416934,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동185,1,,부산광역시 강서구 동선동 1043,35.05423991,128.842588,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동186,1,,부산광역시 강서구 성북동 142-12,35.06121769,128.8329312,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동188,1,,부산광역시 강서구 동선동 108-2,35.05327545,128.8395314,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동189,1,,부산광역시 강서구 동선동 101,35.0534951,128.8391196,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동190,1,,부산광역시 강서구 동선동 35,35.05294841,128.8396505,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동191,1,,부산광역시 강서구 동선동 29-2,35.05257782,128.8403107,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동192,1,,부산광역시 강서구 동선동 29-4,35.05236542,128.8404162,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동193,1,,부산광역시 강서구 동선동 25-1,35.05185087,128.8404671,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동195,1,,부산광역시 강서구 동선동 31,35.05218143,128.8398486,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동196,1,,부산광역시 강서구 동선동 22,35.05072356,128.8412409,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동197,1,,부산광역시 강서구 동선동 산 34-1,35.04977444,128.8406471,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동198,1,,부산광역시 강서구 동선동 22,35.05072356,128.8412409,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동205,1,,부산광역시 강서구 동선동 522-1,35.0511016,128.8340721,,,051-970-4671,부산광역시 강서구청,2025-11-05
가덕도동206,1,,부산광역시 강서구 동선동 597,35.05000321,128.8343688,,,051-970-4671,부산광역시 강서구청,2025-11-05
