보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
구서동035,1,,부산광역시 금정구 구서동 932-1,35.254288,129.099833,2023,건축물,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동036,1,,부산광역시 금정구 구서동 61,35.253887,129.099655,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동037,1,,부산광역시 금정구 구서동 80-1,35.250717,129.092698,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동038,1,,부산광역시 금정구 구서동 80-1,35.250717,129.092698,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동039,1,,부산광역시 금정구 구서동 88-39,35.249818,129.095277,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동040,1,,부산광역시 금정구 구서동 153-11,35.257452,129.093796,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동041,1,,부산광역시 금정구 구서동 934,35.258191,129.093613,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동042,1,,부산광역시 금정구 구서동 153-3,35.257488,129.093420,2023,건축물,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동043,1,,부산광역시 금정구 구서동 174-2,35.257668,129.091986,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동044,1,,부산광역시 금정구 구서동 177-8,35.257119,129.092019,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동045,1,,부산광역시 금정구 구서동 177-5,35.257275,129.092264,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동046,1,,부산광역시 금정구 구서동 178-1,35.257118,129.092511,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동047,1,,부산광역시 금정구 구서동 154-1,35.257038,129.093005,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동048,1,,부산광역시 금정구 구서동 180-2,35.256622,129.093412,2023,건축물,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동049,1,,부산광역시 금정구 구서동 155-3,35.256527,129.093613,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동050,1,,부산광역시 금정구 구서동 155-2,35.256192,129.093643,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동051,1,,부산광역시 금정구 구서동 180-6,35.255912,129.093461,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동018,1,,부산광역시 금정구 구서동 486-6,35.247507,129.096569,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동019,1,,부산광역시 금정구 구서동 487-17,35.247473,129.095836,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동020,1,,부산광역시 금정구 구서동 486-47,35.247164,129.095873,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동021,1,,부산광역시 금정구 구서동 485-6,35.247821,129.096426,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동022,1,,부산광역시 금정구 구서동 484-7,35.247984,129.096253,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동023,1,,부산광역시 금정구 구서동 484-3,35.248234,129.096514,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동024,1,,부산광역시 금정구 구서동 997-10,35.249296,129.097572,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동025,1,,부산광역시 금정구 구서동 75-6,35.247890,129.097721,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동026,1,,부산광역시 금정구 구서동 74,35.247560,129.098343,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동027,1,,부산광역시 금정구 구서동 74-5,35.247318,129.098434,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동028,1,,부산광역시 금정구 구서동 74-8,35.247560,129.098341,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
구서동029,1,,부산광역시 금정구 구서동 74-7,35.247560,129.098341,2023,한전주,051-519-4671,부산광역시 금정구청 도시관리과,2025-12-24
