보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
1002X921임시보안등,1,,부산광역시 기장군 장안읍 덕선리 258,35.33194183,129.2315868758,2025,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
1097A656임시보안등,1,,부산광역시 기장군 기장읍 교리 366,35.2528954872,129.2130794581,,,051-709-4684,부산광역시 기장군청,2025-11-17
가장공영주차장앞임시보안등,1,,부산광역시 기장군 기장읍 대라리 427,35.244193356,129.2149349616,2025,,051-709-4684,부산광역시 기장군청,2025-11-17
구칠리663-7임시보안등,1,,부산광역시 기장군 철마면 구칠리 663-7,35.2615605966,129.1770084123,2025,,051-709-4684,부산광역시 기장군청,2025-11-17
기장대라리03-317임시보안등,1,,부산광역시 기장군 기장읍 동부리 151-5,35.2493631713,129.2152843459,2025,,051-709-4684,부산광역시 기장군청,2025-11-17
기장역입구임시보안등,1,,부산광역시 기장군 기장읍 대라리 4-13,35.243499923,129.2185453016,2025,,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1037,1,,부산광역시 기장군 기장읍 죽성리 543-5,35.2390587,129.2417134,2021,건축물,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1669,1,,부산광역시 기장군 기장읍 교리 332-1,35.253737488,129.2151636,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1670,1,,부산광역시 기장군 기장읍 내리 449-1,35.216250499,129.200571912,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1671,1,,부산광역시 기장군 기장읍 내리 797,35.2019569926,129.2069107591,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1672,1,,부산광역시 기장군 기장읍 동부리 386-13,35.250872751,129.2134871834,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1673,1,,부산광역시 기장군 기장읍 대변리 267-2,35.2231617133,129.2316072534,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1674,1,,부산광역시 기장군 기장읍 교리 324-5,35.2539533343,129.2143421421,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1675,1,,부산광역시 기장군 기장읍 대변리,,,2019,건축물,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1676,1,,부산광역시 기장군 기장읍 대라리,,,,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1677,1,,부산광역시 기장군 기장읍 동부리 309-4,,,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1678,1,,부산광역시 기장군 기장읍 동부리 309-4,,,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1679,1,,부산광역시 기장군 기장읍 죽성리 30-42,35.2389450119,129.2461696242,,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1680,1,,부산광역시 기장군 기장읍 죽성리 131-18,,,,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1681,1,,부산광역시 기장군 기장읍 청강리 268-1,35.23770512,129.2166843431,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1684,1,,부산광역시 기장군 기장읍 내리 701-43,35.2085789482,129.2055416472,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1685,1,,부산광역시 기장군 기장읍 대라리 171,35.2361743477,129.2153365798,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1686,1,,부산광역시 기장군 기장읍 대라리 174-4,35.2358055021,129.2150812301,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1687,1,,부산광역시 기장군 기장읍 청강리 775-3,35.2194110207,129.2119688674,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1688,1,,부산광역시 기장군 기장읍 청강리 775-3,35.2194110207,129.2119688674,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1689,1,,부산광역시 기장군 기장읍 청강리 432-6,35.2201263392,129.2117956394,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1690,1,,부산광역시 기장군 기장읍 청강리 432-6,35.2201263392,129.2117956394,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1691,1,,부산광역시 기장군 기장읍 대라리,,,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1692,1,,부산광역시 기장군 기장읍 대라리,,,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1693,1,,부산광역시 기장군 기장읍 대라리 176-14,35.236573541,129.2126515259,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1694,1,,부산광역시 기장군 기장읍 만화리 43,35.2531360988,129.2082966907,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1695,1,,부산광역시 기장군 기장읍 동부리 115-1,35.2477563637,129.2131440616,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1696,1,,부산광역시 기장군 기장읍 대라리 142-6,35.2396634525,129.215681312,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1697,1,,부산광역시 기장군 기장읍 청강리 427-3,35.22070444,129.2118031681,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1698,1,,부산광역시 기장군 기장읍 동부리 155-8,35.2473438819,129.2166603,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1699,1,,부산광역시 기장군 기장읍 동부리 155-10,35.2473131256,129.216106,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1700,1,,부산광역시 기장군 기장읍 대라리 168-13,35.23720963,129.2151487,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1701,1,,부산광역시 기장군 기장읍 대라리 168-8,35.2374994957,129.2151501461,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1702,1,,부산광역시 기장군 기장읍 내리 333,35.2080060975,129.2065623881,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1703,1,,부산광역시 기장군 기장읍 교리 343-1,35.25299833,129.2162903,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1704,1,,부산광역시 기장군 기장읍 교리 343-1,35.25299833,129.2162903,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1705,1,,부산광역시 기장군 기장읍 교리 192,35.2519051875,129.2128234268,,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1708,1,,부산광역시 기장군 기장읍 대라리 884,35.2416294419,129.2073896371,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1709,1,,부산광역시 기장군 기장읍 대변리 370,35.2261122912,129.2303992195,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1710,1,,부산광역시 기장군 기장읍 내리 345-8,35.208165735,129.2068744714,2019,전용주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1711,1,,부산광역시 기장군 기장읍 만화리 산 120-23,35.2533194317,129.1949986627,2018,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1712,1,,부산광역시 기장군 기장읍 만화리 산 120-23,35.2533194317,129.1949986627,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1713,1,,부산광역시 기장군 기장읍 교리 251-9,35.2552105248,129.2179760439,2019,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1714,1,,부산광역시 기장군 기장읍 교리 120-6,35.25712465,129.2127908002,2021,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1715,1,,부산광역시 기장군 기장읍 교리 94,35.25721587,129.2136085543,2021,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1716,1,,부산광역시 기장군 기장읍 대라리 363-1,35.2396402,129.2112354,2022,전용주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1717,1,,부산광역시 기장군 기장읍 청강리 820,35.2253789774,129.2129192,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1718,1,,부산광역시 기장군 기장읍 대라리 176-10,35.23618119,129.212642,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1719,1,,부산광역시 기장군 기장읍 대라리 166-16,35.23710308,129.2134555039,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1720,1,,부산광역시 기장군 기장읍 대변리 599,35.2229434393,129.2385789023,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1721,1,,부산광역시 기장군 기장읍 동부리 181-1,35.24421537,129.2132056,2022,건축물,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1722,1,,부산광역시 기장군 기장읍 동부리 253-1,35.24454028,129.2129316,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1723,1,,부산광역시 기장군 기장읍 동부리 235-1,35.24507243,129.212814,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1724,1,,부산광역시 기장군 기장읍 청강리 809,35.2255191918,129.2137927093,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1725,1,,부산광역시 기장군 기장읍 서부리 100-11,35.2450328366,129.2104501,2022,건축물,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1726,1,,부산광역시 기장군 기장읍 시랑리 417,35.1891439796,129.2210084061,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1727,1,,부산광역시 기장군 기장읍 서부리 297,35.2511778689,129.1974259346,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1728,1,,부산광역시 기장군 기장읍 내리 350-3,35.20922947,129.2061617,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1729,1,,부산광역시 기장군 기장읍 내리 372-2,35.20955276,129.205852,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1730,1,,부산광역시 기장군 기장읍 시랑리 630-8,35.1825873365,129.2106676958,2022,건축물,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1731,1,,부산광역시 기장군 기장읍 시랑리 617-1,35.1827125223,129.2102157,2022,건축물,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1732,1,,부산광역시 기장군 기장읍 시랑리 630-2,35.18268863,129.2105038,2022,건축물,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1733,1,,부산광역시 기장군 기장읍 대라리 136-5,35.2392608573,129.216880094,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1734,1,,부산광역시 기장군 기장읍 서부리 104-7,35.2442366846,129.2104868,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1735,1,,부산광역시 기장군 기장읍 서부리 104-8,35.2440906747,129.2104951035,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1736,1,,부산광역시 기장군 기장읍 대라리 148-5,35.2385359159,129.2142963618,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1737,1,,부산광역시 기장군 기장읍 내리 774,35.2049711969,129.2055785107,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1738,1,,부산광역시 기장군 기장읍 대라리 268-6,35.2380559779,129.2142471756,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1739,1,,부산광역시 기장군 기장읍 대라리 141-9,35.2396269661,129.2151543107,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1740,1,,부산광역시 기장군 기장읍 대라리 144-8,35.2392893009,129.2164392165,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
기장읍1741,1,,부산광역시 기장군 기장읍 대라리 149-1,35.2387204154,129.2154246,2022,한전주,051-709-4684,부산광역시 기장군청,2025-11-17
