구분,노선명,시점,종점,폭(m),길이(m)
대로,전포대로,부산광역시 남구 문현동 807-5 일원,부산광역시 진구 전포동 874-1 일원,50,3090
대로,충장대로,부산광역시 중구 중앙동4가 89-14 일원,부산광역시 남구 문현동 산149일원,50,3400
대로,황령대로,부산광역시 진구 범천동 856-7 일원,부산광역시 남구 대연동 1808 일원,40,5000
로,8부두로,부산광역시 남구 감만동 85-17 일원,부산광역시 남구 감만동 75-82 일원,22,1121
로,고동골로,부산광역시 남구 문현동361-32 일원,부산광역시 남구 문현동 54-7 일원,15,1380
로,남동천로,부산광역시 남구 문현동 810-17 일원,부산광역시 남구 문현동 688-1 일원,15,1360
로,당산로,부산광역시 남구 우암동 67 일원,부산광역시 남구 우암동 118-111 일원,8,579
로,동명로,부산광역시 남구 용당동 483-13 일원,부산광역시 남구 용호동 519-15 일원,12,2095
로,동제당로,부산광역시 남구 문현동 271-4 일원,부산광역시 남구 우암동 150-2 일원,7,1901
로,동항로,부산광역시 남구 우암동 184-65 일원,부산광역시 남구 우암동 127-87 일원,5,661
로,못골로,부산광역시 남구 대연동 1761-8 일원,부산광역시 남구 대연동 329-15 일원,12,1084
로,못골번영로,부산광역시 남구 대연동 1463-13 일원,부산광역시 남구 대연동 1565학 일원,12,1066
로,무민사로,부산광역시 남구 감만동 498-115 일원,부산광역시 남구 감만동329-32 일원,17,459
로,문현금융로,부산광역시 남구 문현동 770-6 일원,부산광역시 남구 문현동 1228-2 일원,25,546
로,문현로,부산광역시 남구 문현동 202-19 일원,부산광역시 남구 문현동 97-20 일원,17,817
로,백운포로,부산광역시 남구 용호동 894-3 일원,부산광역시 남구 용호동 895-3 일원,31,1159
로,북항로,부산광역시 남구 용당동 168-35 일원,부산광역시 남구 감만동 587-1 일원,36,2191
로,분포로,부산광역시 남구 용호동176-11 일원,부산광역시 남구 용호동5-12 일원,31,1582
로,석포로,부산광역시 남구 감만동 51-16 일원,부산광역시 남구 대연동 999-1 일원,27,1467
로,솔밭로,부산광역시 남구 우암동 211-15 일원,부산광역시 남구 우암동 127-23 일원,9,375
로,수영로,부산광역시 남구 문현동 807-7 일원,부산광역시 수영구 수영동 547 일원,30,8100
로,신선대산복로,부산광역시 남구 용당동 99 일원,부산광역시 남구 용호동 894-3 일원,15,2552
로,신선로,부산광역시 남구 감만동 620-3 일원,부산광역시 남구 대연동 1808-3 일원,34,6061
로,신정번영로,부산광역시 남구 대연동 1613-134 일원,부산광역시 남구 대연동 1618-255 일원,8,649
로,양지골로,부산광역시 남구 감만동 41-18 일원,부산광역시 남구 감만동 146-5 일원,8,1857
로,오륙도로,부산광역시 남구 용호동 산221-3 일원,부산광역시 남구 용호동 산202 일원,28,1378
