보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
감만1002,1,부산광역시 남구 무민사로 7-24,부산광역시 남구 감만동 511-2,35.1109749,129.0792971,,,051-607-4671,부산광역시 남구청,2025-08-14
감만1003,1,부산광역시 남구 신선로 130-7,부산광역시 남구 감만동 511-26,35.11065592,129.0781397,,,051-607-4671,부산광역시 남구청,2025-08-14
감만1004,1,부산광역시 남구 무민사로 19번길 1,부산광역시 남구 감만동 492,35.11243596,129.0806985,,,051-607-4671,부산광역시 남구청,2025-08-14
감만1005,1,부산광역시 남구 무민사로 19번길 5,부산광역시 남구 감만동 493-5,35.11252993,129.0808939,,,051-607-4671,부산광역시 남구청,2025-08-14
감만1006,1,부산광역시 남구 무민사로 19번길 11,부산광역시 남구 감만동 489-4,35.11274446,129.0809959,,,051-607-4671,부산광역시 남구청,2025-08-14
감만1007,1,부산광역시 남구 무민사로 33번길 6,부산광역시 남구 감만동 483-3,35.1131233,129.0811854,,,051-607-4671,부산광역시 남구청,2025-08-14
감만1009,1,부산광역시 남구 무민사로 33번길 11-12,부산광역시 남구 감만동 474-4,35.11304324,129.0805999,,,051-607-4671,부산광역시 남구청,2025-08-14
감만1010,1,부산광역시 남구 무민사로 33번길 17,부산광역시 남구 감만동 473,35.11330566,129.0806417,,,051-607-4671,부산광역시 남구청,2025-08-14
감만1011,1,부산광역시 남구 무민사로 33번길 28,부산광역시 남구 감만동 407,35.11372557,129.0807489,,,051-607-4671,부산광역시 남구청,2025-08-14
감만1012,1,부산광역시 남구 무민사로 33번길 29-8,부산광역시 남구 감만동 471-1,35.11333712,129.0804889,,,051-607-4671,부산광역시 남구청,2025-08-14
감만1013,1,부산광역시 남구 무민사로 33번길 29-1,부산광역시 남구 감만동 408-2,35.11361951,129.0806277,,,051-607-4671,부산광역시 남구청,2025-08-14
감만1014,1,부산광역시 남구 무민사로 33번길 33,부산광역시 남구 감만동 404-4,35.11394477,129.0803684,,,051-607-4671,부산광역시 남구청,2025-08-14
감만1015,1,부산광역시 남구 무민사로 33번길 46,부산광역시 남구 감만동 366-2,35.11428212,129.0802454,,,051-607-4671,부산광역시 남구청,2025-08-14
