보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
범일동0002,1,부산광역시 동구 안창로92번길 60,부산광역시 동구 범일동 산65-121,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0003,1,부산광역시 동구 안창로92번길 53,부산광역시 동구 범일동 산65-121,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0004,1,부산광역시 동구 안창로92번길 52,부산광역시 동구 범일동 산65-121,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0007,1,부산광역시 동구 안창로97번길 16-7,부산광역시 동구 범일동 산65-121,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0008,1,부산광역시 동구 안창로92번길 33-6,부산광역시 동구 범일동 산65-121,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0009,1,부산광역시 동구 안창로92번길 33-6,부산광역시 동구 범일동 산65-121,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0010,1,부산광역시 동구 안창로97번길 17,부산광역시 동구 범일동 산65-121,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0011,1,부산광역시 동구 안창로97번길 18,부산광역시 동구 범일동 산65-121,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0012,1,부산광역시 동구 안창로97번길 20 뒤 등산로,부산광역시 동구 범일동 산65-121,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0013,1,부산광역시 동구 안창로92번길 42,부산광역시 동구 범일동 산65-121,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0015,1,부산광역시 동구 안창로92번길 33,부산광역시 동구 범일동 산65-121,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0016,1,부산광역시 동구 안창로92번길 27,부산광역시 동구 범일동 산65-141,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0017,1,부산광역시 동구 안창로92번길 19-4,부산광역시 동구 범일동 산65-310,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0018,1,부산광역시 동구 안창로97번길 10,부산광역시 동구 범일동 산65-437,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0019,1,부산광역시 동구 안창로97번길 6,부산광역시 동구 범일동 산65-436,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0020,1,부산광역시 동구 안창로97번길 9,부산광역시 동구 범일동 산65-141,,,,,051-440-4674,부산광역시 동구청,2026-06-25
범일동0021,1,부산광역시 동구 안창로 94,부산광역시 동구 범일동 산65-332,,,,,051-440-4674,부산광역시 동구청,2026-06-25
