보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
구만덕로172,1,,부산광역시 동래구 온천동 산 182-7,35.21153641,129.0563631,,한전주,051-550-4671,부산광역시 동래구청,2026-05-26
구만덕로285-36(1),1,,부산광역시 동래구 온천동 산 108-1,35.21666997,129.0664172,,한전주,051-550-4671,부산광역시 동래구청,2026-05-26
구만덕로285-36(2),1,,부산광역시 동래구 온천동 산 72-1,35.21639973,129.0653295,,한전주,051-550-4671,부산광역시 동래구청,2026-05-26
구만덕로285-36(3),1,,부산광역시 동래구 온천동 산 72-1,35.21639973,129.0653295,,전용주,051-550-4671,부산광역시 동래구청,2026-05-26
구만덕로285-36(4),1,,부산광역시 동래구 온천동 산 72-1,35.21639973,129.0653965,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로20번길22,1,,부산광역시 동래구 온천동 1754-6,35.21997685,129.0828891,,한전주,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로20번길71,1,,부산광역시 동래구 온천동 148-12,35.22207261,129.0829621,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로20번길74,1,,부산광역시 동래구 온천동 148-32,35.22217561,129.0834045,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로20번길77(1),1,,부산광역시 동래구 온천동 147-51,35.22218929,129.0831821,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로20번길77(2),1,,부산광역시 동래구 온천동 147-51,35.22218929,129.0831821,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로20번길77(3),1,,부산광역시 동래구 온천동 147-7,35.22232722,129.0830688,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로20번길81,1,,부산광역시 동래구 온천동 147-56,35.22249603,129.0833741,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로20번길86,1,,부산광역시 동래구 온천동 147-53,35.22271347,129.0835959,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로20번길87,1,,부산광역시 동래구 온천동 147-60,35.22232388,129.0833796,,한전주,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로26번길17,1,,부산광역시 동래구 온천동 212-37,35.21954738,129.0816586,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로26번길21,2,,부산광역시 동래구 온천동 135-43,35.22010097,129.0814485,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로33번길9,1,,부산광역시 동래구 온천동 189-82,35.21840668,129.0811005,,한전주,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로33번길21,1,,부산광역시 동래구 온천동 189-72,35.21801376,129.0811951,,한전주,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로34-7,1,,부산광역시 동래구 온천동 210-11,35.21938723,129.0806431,,한전주,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로34-9,1,,부산광역시 동래구 온천동 135-11,35.21843472,129.0815939,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로34-12,1,,부산광역시 동래구 온천동 210-7,35.21943665,129.0808865,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로37(1),1,,부산광역시 동래구 온천동 189-134,35.21843407,129.0806071,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로37(2),1,,부산광역시 동래구 온천동 189-134,35.21843407,129.0806071,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강공원로37(3),1,,부산광역시 동래구 온천동 189-134,35.21843407,129.0806071,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강로6-1,1,,부산광역시 동래구 온천동 850-5,35.21229553,129.0720825,,한전주,051-550-4671,부산광역시 동래구청,2026-05-26
금강로6-7,1,,부산광역시 동래구 온천동 850-17,35.21198761,129.0717348,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강로6-14,1,,부산광역시 동래구 온천동 850-44,35.21179962,129.0714685,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강로6-18,1,,부산광역시 동래구 온천동 850-45,35.21163971,129.0714569,,건축물,051-550-4671,부산광역시 동래구청,2026-05-26
금강로8번가길7-1,1,,부산광역시 동래구 온천동 90-21,35.21156373,129.0720593,,한전주,051-550-4671,부산광역시 동래구청,2026-05-26
