보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
당감2동054,1,부산광역시 부산진구 가야대로681번길 36,,35.15811539,129.045990,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동055,1,부산광역시 부산진구 가야대로691번길 42-1,,35.15775134,129.045417,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동056,1,부산광역시 부산진구 가야대로681번길 48-1,,35.15861511,129.0461121,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동058,1,부산광역시 부산진구 가야대로681번길 51-6,,35.15882492,129.0459442,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동059,1,부산광역시 부산진구 가야대로681번길 53-6,,35.15891647,129.046051,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동060,1,부산광역시 부산진구 가야대로681번길 54,,35.15879191,129.0463562,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동061,1,부산광역시 부산진구 가야대로681번길 55-3,,35.15897369,129.0462952,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동062,1,부산광역시 부산진구 가야대로681번길 55-9,,35.15911484,129.0458942,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
가야1동382,1,부산광역시 부산진구 엄광로208번가길 3,,35.14910342,129.036924,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동063,1,부산광역시 부산진구 가야대로681번길 59,,35.15903473,129.0464966,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동064,1,부산광역시 부산진구 가야대로681번길 64,,35.15903854,129.0467072,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동065,1,부산광역시 부산진구 가야대로681번길 64-5,,35.15890121,129.046814,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동066,1,부산광역시 부산진구 가야대로703번다길 19-4,,35.15884588,129.0469757,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동067,1,부산광역시 부산진구 가야대로703번다길 19-6,,35.15882245,129.0468597,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동068,1,부산광역시 부산진구 가야대로703번마길 44-1,,35.15868378,129.0465863,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동069,1,부산광역시 부산진구 가야대로703번마길 42,,35.15852737,129.0467377,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동070,1,부산광역시 부산진구 가야대로703번마길 38-2,,35.15862233,129.0469513,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동071,1,부산광역시 부산진구 가야대로703번라길 6-5,,35.15838235,129.047226,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동072,1,부산광역시 부산진구 가야대로703번다길 11,,35.15850449,129.0473785,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
가야1동383,1,부산광역시 부산진구 엄광로204번길 17,,35.14923859,129.0368958,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동073,1,부산광역시 부산진구 가야대로703번다길 15,,35.15876007,129.0471649,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동074,1,부산광역시 부산진구 가야대로703번라길 6-2,,35.15830502,129.0475616,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동075,1,부산광역시 부산진구 가야대로703번라길 6,,35.15820313,129.0472999561,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동076,1,부산광역시 부산진구 가야대로703번라길 10,,35.15810372,129.0470852,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동077,1,부산광역시 부산진구 가야대로703번라길 10-8,,35.15831375,129.0470886,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동078,1,부산광역시 부산진구 가야대로703번라길 10-8,,35.15836154,129.0470638,2024,전용주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동079,1,부산광역시 부산진구 가야대로703번라길 16-6,,35.15824935,129.0468771,2024,전용주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동080,1,부산광역시 부산진구 가야대로703번라길 20,,35.15794047,129.0466309,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동081,1,부산광역시 부산진구 가야대로703번라길 22-6,,35.1581247,129.0465088,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동082,1,부산광역시 부산진구 가야대로703번라길 26,,35.15774536,129.046402,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
가야1동384,1,부산광역시 부산진구 엄광로208번길 26,,35.14954758,129.0372494,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동083,1,부산광역시 부산진구 가야대로703번나길 38,,35.15770456,129.046522,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동084,1,부산광역시 부산진구 가야대로703번마길 56,,35.15802383,129.0461635,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동085,1,부산광역시 부산진구 가야대로703번마길 53,,35.15816879,129.0464172,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동086,1,부산광역시 부산진구 가야대로703번마길 51,,35.15828705,129.0464997,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동087,1,부산광역시 부산진구 가야대로703번마길 46,,35.15853647,129.0465035,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동088,1,부산광역시 부산진구 가야대로691번길 28,,35.15763092,129.0462646,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동089,1,부산광역시 부산진구 가야대로691번길 18,,35.15750547,129.0467473,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동090,1,부산광역시 부산진구 가야대로691번길 16,,35.15740967,129.0468597,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동091,1,부산광역시 부산진구 가야대로691번길 14-4,,35.15752792,129.046963,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감2동092,1,부산광역시 부산진구 가야대로703번나길 32,,35.1578331,129.0468903,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감4동133,1,부산광역시 부산진구 당감서로109번길 19,,35.16885757,129.0339592,2024,건축물,051-605-4671,부산광역시 부산진구청,2026-05-12
가야1동404,1,부산광역시 부산진구 엄광로208번나길 4,,35.15026463,129.0379337,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감4동134,1,부산광역시 부산진구 당감서로109번길 27,,35.16894913,129.0337982,2024,전용주,051-605-4671,부산광역시 부산진구청,2026-05-12
당감4동135,1,부산광역시 부산진구 당감서로109번길 7-10,,35.16865775,129.0339483,2024,한전주,051-605-4671,부산광역시 부산진구청,2026-05-12
