보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
041-4-1,1,,부산광역시 북구 만덕동 926-1,35.210124,129.033010,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
050-13-1,1,,부산광역시 북구 만덕동 899,35.209105,129.041410,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
067-24-1,1,,부산광역시 북구 화명동 1293-1,35.233827,129.013897,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
067-24-2,1,,부산광역시 북구 화명동 1293-1,35.233803,129.014166,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
067-24-3,1,,부산광역시 북구 화명동 1293-1,35.233838,129.014384,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
144-17,1,,부산광역시 북구 만덕동 951,35.205158,129.031250,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
144-18,1,,부산광역시 북구 만덕동 943-1,35.204948,129.031188,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
144-19,1,,부산광역시 북구 만덕동 951,35.204711,129.031082,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
144-20,1,,부산광역시 북구 만덕동 943-1,35.204433,129.030990,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
144-21,1,,부산광역시 북구 만덕동 943-1,35.204242,129.030868,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
144-22,1,,부산광역시 북구 만덕동 951,35.203998,129.030731,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
144-23,1,,부산광역시 북구 만덕동 951,35.203826,129.030609,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
167-28-1,1,,부산광역시 북구 금곡동 1905,35.240884,129.011485,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
167-28-2,1,,부산광역시 북구 금곡동 1881,35.240937,129.011423,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
188-6-1,1,,부산광역시 북구 금곡동 882-11,35.258445,129.012581,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
210222,1,,부산광역시 북구 금곡동 1174,35.246930,129.014661,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210310,1,,부산광역시 북구 만덕동 646-15,35.213991,129.029307,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210422,1,,부산광역시 북구 구포동 1154-1,35.207373,128.999066,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
210423,1,,부산광역시 북구 구포동 1154-1,35.207559,128.998952,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210517,1,,부산광역시 북구 구포동 426-4,35.207380,129.002418,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210527,1,,부산광역시 북구 만덕동 886-1,35.208268,129.043537,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210610,1,,부산광역시 북구 구포동 592-23,35.207257,129.003738,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210701,1,,부산광역시 북구 구포동 1157-1,35.210211,129.000708,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210720,1,,부산광역시 북구 구포동 403-8,35.206531,129.000080,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
210721-2신설,1,,부산광역시 북구 화명동 347-3,35.241753,129.018567,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210721신설,1,,부산광역시 북구 화명동 392,35.241597,129.018299,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210725,1,,부산광역시 북구 만덕동 618-9,35.213368,129.030848,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
210812,1,,부산광역시 북구 만덕동 642-51,35.213456,129.030595,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210818_신설1_만덕베르빌,1,,부산광역시 북구 만덕동 592,35.213354,129.037999,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210818_신설2_만덕베르빌,1,,부산광역시 북구 만덕동 823-47,35.213526,129.038072,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210818_신설3_만덕베르빌,1,,부산광역시 북구 만덕동 823-41,35.213669,129.038138,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210818_화명교밑등기구_임시표시,1,,부산광역시 북구 화명동 2102-1,35.239702,129.014394,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
210818데크등_임시표시,1,,부산광역시 북구 화명동 198,35.240248,129.015198,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
210823,1,,부산광역시 북구 구포동 413-6,35.206248,128.999354,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210827,1,,부산광역시 북구 구포동 1045-2,35.202995,128.996477,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
210907_대천천임시1,1,,부산광역시 북구 화명동 198,35.241607,129.017852,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
210907_대천천임시2,1,,부산광역시 북구 화명동 327,35.241790,129.018079,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
210907_대천천임시3,1,,부산광역시 북구 화명동 327,35.241920,129.018272,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
210907_대천천임시4,1,,부산광역시 북구 화명동 327,35.242062,129.018528,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
210907_대천천임시5,1,,부산광역시 북구 화명동 327,35.242182,129.018737,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
210908,1,,부산광역시 북구 덕천동 462,35.210263,129.013194,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
211012,1,,부산광역시 북구 덕천동 409-12,35.211948,129.017422,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
211026,1,,부산광역시 북구 덕천동 412-45,35.210583,129.011415,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
227-1-1,1,,부산광역시 북구 구포동 1157-1,35.206149,128.995830,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
22년신설12,1,,부산광역시 북구 구포동 1060-203,35.204368,128.997118,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
22예비6,1,,부산광역시 북구 만덕동 618-16,35.213308,129.030685,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
22예비7,1,,부산광역시 북구 덕천동 302-44,35.215776,129.010209,,전용주,051-309-4678,부산광역시 북구청,2024-11-15
22예비8,1,,부산광역시 북구 구포동 1285,35.196870,129.012622,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
23년신설22,1,,부산광역시 북구 만덕동 925-2,35.209522,129.028873,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
23년신설31,1,,부산광역시 북구 만덕동 937,35.210419,129.032562,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
23년신설32,1,,부산광역시 북구 만덕동 937,35.210608,129.032739,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
24년신설1,1,,부산광역시 북구 구포동 972-54,35.199609,128.999234,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
24년신설10,1,,부산광역시 북구 만덕동 935,35.211260,129.028665,,한전주,051-309-4678,부산광역시 북구청,2024-11-15
