보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
감전동018,1,,부산광역시 사상구 감전동 265,35.15763315,128.991682,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동019,1,,부산광역시 사상구 감전동 262-1,35.15735272,128.9916263,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동020,1,,부산광역시 사상구 감전동 264,35.15750883,128.9917673,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동021,1,,부산광역시 사상구 감전동 254,35.15778802,128.9918328,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동022,1,,부산광역시 사상구 감전동 308,35.15801672,128.9925734,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동023,1,,부산광역시 사상구 감전동 287,35.1575261,128.9925854,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동024,1,,부산광역시 사상구 감전동 307-2,35.15792996,128.9927637,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동025,1,,부산광역시 사상구 감전동 285,35.15749048,128.9924065,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동026,1,,부산광역시 사상구 감전동 288,35.15738368,128.9925112,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동027,1,,부산광역시 사상구 감전동 283-2,35.15718082,128.9924508,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동028,1,,부산광역시 사상구 감전동 348-4,35.15705555,128.9924298,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동029,1,,부산광역시 사상구 감전동 272-1,35.15717387,128.9918765,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동030,1,,부산광역시 사상구 감전동 271,35.15738159,128.991964,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동031,1,,부산광역시 사상구 감전동 276-1,35.15694064,128.9918657,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동032,1,,부산광역시 사상구 감전동 273-1,35.15714346,128.9916381,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동033,1,,부산광역시 사상구 감전동 351-1,35.1568318,128.991936,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동001,1,,부산광역시 사상구 감전동 330-1,35.15693191,128.994373,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동002,1,,부산광역시 사상구 감전동 301,35.15790922,128.993520,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동003,1,,부산광역시 사상구 감전동 301,35.15790922,128.993520,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동004,1,,부산광역시 사상구 감전동 250-6,35.15852419,128.9918708,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동005,1,,부산광역시 사상구 감전동 250-6,35.15852419,128.9918708,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동006,1,,부산광역시 사상구 감전동 250-6,35.15852419,128.9918708,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동007,2,,부산광역시 사상구 감전동 41-1,35.15823717,128.9920243,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동008,1,,부산광역시 사상구 감전동 252-1,35.15812939,128.991772,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동009,1,,부산광역시 사상구 감전동 250-9,35.15854029,128.9914617,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동010,1,,부산광역시 사상구 감전동 81,35.15853676,128.9916985,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동011,1,,부산광역시 사상구 감전동 84,35.15888066,128.9913693,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동012,1,,부산광역시 사상구 감전동 85-8,35.15892051,128.9911924,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동013,1,,부산광역시 사상구 감전동 245,35.15865446,128.9910239,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동014,1,,부산광역시 사상구 감전동 252-1,35.15812939,128.991772,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동015,1,,부산광역시 사상구 감전동 248-7,35.1580416,128.991170,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동016,1,,부산광역시 사상구 감전동 255-4,35.15776739,128.9916457,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동017,1,,부산광역시 사상구 감전동 253-1,35.15814437,128.9919899,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동034,1,,부산광역시 사상구 감전동 349-1,35.15679782,128.9922046,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동035,1,,부산광역시 사상구 감전동 349-1,35.15679782,128.9922046,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동036,1,,부산광역시 사상구 감전동 41-7,35.15839984,128.9922976,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동037,1,,부산광역시 사상구 감전동 290,35.15723619,128.9928049,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동038,1,,부산광역시 사상구 감전동 290-1,35.15733965,128.992845,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동039,1,,부산광역시 사상구 감전동 293,35.1570744,128.9927736,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동040,1,,부산광역시 사상구 감전동 344-7,35.15688041,128.9934012,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동041,1,,부산광역시 사상구 감전동 344-2,35.15702218,128.993510,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동042,1,,부산광역시 사상구 감전동 344-6,35.15691662,128.993824,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동043,1,,부산광역시 사상구 감전동 344-2,35.15702218,128.993510,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동044,1,,부산광역시 사상구 감전동 344-7,35.15688041,128.9934012,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동045,1,,부산광역시 사상구 감전동 344-7,35.15688041,128.9934012,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동046,1,,부산광역시 사상구 감전동 916-1,35.15483302,128.9935008,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동047,1,,부산광역시 사상구 감전동 135-8,35.1549086,128.9931516,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동048,1,,부산광역시 사상구 감전동 135-6,35.15507873,128.9929497,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동049,1,,부산광역시 사상구 감전동 135-1,35.15523308,128.9928035,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동050,1,,부산광역시 사상구 감전동 389-4,35.15548893,128.992370,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동051,1,,부산광역시 사상구 감전동 393-11,35.15525024,128.9924833,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동052,1,,부산광역시 사상구 감전동 393-5,35.15526309,128.9922116,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동053,1,,부산광역시 사상구 감전동 135-14,35.15501747,128.9925656,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동054,1,,부산광역시 사상구 감전동 389-4,35.15548893,128.992370,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동055,1,,부산광역시 사상구 감전동 365,35.15593239,128.9919762,,,051-310-4671,부산광역시 사상구청,2026-04-22
감전동056,1,,부산광역시 사상구 감전동 389-1,35.15561993,128.9923121,,,051-310-4671,부산광역시 사상구청,2026-04-22
