보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
감천2-250,1,부산광역시 사하구 옥천로70번나길 35,부산광역시 사하구 감천동 13-1375,35.0928948,129.0104956427,2024,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동001,1,부산광역시 사하구 사하로125번길 8,부산광역시 사하구 감천동 830-17,35.092630,128.9926984,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동002,1,부산광역시 사하구 사하로125번길 6-3,부산광역시 사하구 감천동 830-7,35.0924904562,128.9924873,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동003,1,부산광역시 사하구 사하로125번길 6-1,부산광역시 사하구 감천동 830-15,35.0925771,128.9926313,2021,전용주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동004,1,부산광역시 사하구 사하로 83,부산광역시 사하구 감천동 828-75,35.0894615716,128.9936916421,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동005,1,부산광역시 사하구 사하로125번길 16-1,부산광역시 사하구 감천동 830-10,35.0922254,128.9926447,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동006,1,부산광역시 사하구 사하로125번길 20-1,부산광역시 사하구 감천동 830-4,35.0922919,128.992438,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동007,1,부산광역시 사하구 사하로125번길 20-2,부산광역시 사하구 감천동 830-19,35.0922895617,128.9922631,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동008,1,부산광역시 사하구 사하로125번길 24,부산광역시 사하구 감천동 828-41,35.0919868305,128.9928938504,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동009,1,부산광역시 사하구 사하로125번길 24-4,부산광역시 사하구 감천동 828-43,35.0919359,128.9926995367,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동010,1,부산광역시 사하구 사하로125번길 30,부산광역시 사하구 감천동 828-47,35.0917777,128.9930176,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동011,1,,부산광역시 사하구 감천동 828-36,35.091772974,128.9930887752,2021,전용주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동012,1,부산광역시 사하구 사하로125번길 32,부산광역시 사하구 감천동 828-52,35.0916595,128.9930805,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동013,1,부산광역시 사하구 사하로125번길 35,부산광역시 사하구 감천동 828-59,35.0914449,128.9929766,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동014,1,부산광역시 사하구 감천로 6-2,부산광역시 사하구 감천동 826-5,35.0918952289,128.9937446,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동015,1,부산광역시 사하구 감천로 13,부산광역시 사하구 감천동 808-1,35.0919336978,128.9945133048,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동016,1,부산광역시 사하구 감천로 20,부산광역시 사하구 감천동 808-11,35.0912649,128.9951541,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동017,1,부산광역시 사하구 사하로 106-1,부산광역시 사하구 감천동 826-26,35.0915467,128.9938983002,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동018,1,부산광역시 사하구 사하로 106-6,부산광역시 사하구 감천동 826-15,35.0918269,128.993863,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동019,1,부산광역시 사하구 사하로 83-1,부산광역시 사하구 감천동 804-11,35.0895943,128.9931728,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동020,1,부산광역시 사하구 사하로 87,부산광역시 사하구 감천동 828-11,35.0901932,128.9934724,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동021,1,부산광역시 사하구 감천로 32,부산광역시 사하구 감천동 682,35.0905945623,128.9958399,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동022,1,부산광역시 사하구 사하로 87,부산광역시 사하구 감천동 828-11,35.0901932,128.9934724,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동023,1,부산광역시 사하구 감천로 24,부산광역시 사하구 감천동 808,35.0898640453,128.9949237135,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동024,1,부산광역시 사하구 감천로 38,부산광역시 사하구 감천동 682-1,35.0902534268,128.9962495497,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동025,1,부산광역시 사하구 감천로42번길 17,부산광역시 사하구 감천동 783-1,35.0898973,128.9966667,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동026,1,부산광역시 사하구 감천로42번길 17,부산광역시 사하구 감천동 783-1,35.0898973,128.9966667,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동027,1,부산광역시 사하구 감천로42번길 17,부산광역시 사하구 감천동 783-1,35.0898973,128.9966667,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동028,1,부산광역시 사하구 감천로42번길 17,부산광역시 사하구 감천동 783-1,35.0898973,128.9966667,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동029,1,부산광역시 사하구 사하로 84,부산광역시 사하구 감천동 803-3,35.0896170434,128.9942712577,2021,전용주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동030,1,부산광역시 사하구 감천로42번길 17,부산광역시 사하구 감천동 783-1,35.0898758128,128.9966500709,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동031,1,부산광역시 사하구 감천로38번길 12,부산광역시 사하구 감천동 685-1,35.0906273,128.9971967951,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동032,1,부산광역시 사하구 감천로42번길 17,부산광역시 사하구 감천동 783-1,35.0898973,128.9966667,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동033,1,부산광역시 사하구 감천로38번길 20,부산광역시 사하구 감천동 691-1,35.090146576,128.9973965293,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동034,1,부산광역시 사하구 을숙도대로873번길 37,부산광역시 사하구 감천동 783-18,35.0894193,128.9966879,2021,한전주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동035,1,부산광역시 사하구 감천로38번길 20,부산광역시 사하구 감천동 691-1,35.090146576,128.9973965293,2021,전용주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동036,1,부산광역시 사하구 감천로42번길 21-1,부산광역시 사하구 감천동 789-3,35.0891509,128.9960236,2021,전용주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동037,1,부산광역시 사하구 감천로42번길 21-1,부산광역시 사하구 감천동 789-3,35.0891509,128.9960236,2021,건축물,051-220-4671,부산광역시 사하구청,2026-02-27
감천동038,1,부산광역시 사하구 감천로42번길 21-12,부산광역시 사하구 감천동 789-3,35.0888636189,128.9959925546,2021,전용주,051-220-4671,부산광역시 사하구청,2026-02-27
감천동039,1,부산광역시 사하구 감천로42번길 21-10,부산광역시 사하구 감천동 789-3,35.0888724351,128.9958292975,2021,전용주,051-220-4671,부산광역시 사하구청,2026-02-27
