보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
암남동,1,부산광역시 서구 장군산로65-13,,35.0718958024,129.0155343543,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 장군산로87번길 4-1,,35.0708043794,129.0156808101,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
동대신2동,1,부산광역시 서구 중앙공원로 24,,35.1159725105,129.0241165139,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
동대신2동,1,부산광역시 서구 중앙공원로 27,,,,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
동대신2동,1,부산광역시 서구 중앙공원로 30,,35.1159049197,129.0243270623,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
동대신2동,1,부산광역시 서구 중앙공원로27번길 7-7,,35.1165155134,129.0246262313,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
동대신3동,1,부산광역시 서구 중앙공원로7번길 3-12,,35.1166483187,129.0217890244,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
동대신3동,1,부산광역시 서구 중앙공원로7번길 3-15,,35.116571619,129.0215141459,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
동대신3동,1,부산광역시 서구 중앙공원로7번길 7-26,,35.1167947759,129.0215882078,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
동대신3동,1,부산광역시 서구 중앙공원로7번길 9-10,,35.1167919637,129.0221995822,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
동대신3동,1,부산광역시 서구 중앙공원로7번길 9-16,,35.1168160718,129.0220347867,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로 143번길 17-2,,35.0886055509,129.0224021286,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로 143번길 26-4,,35.0888096543,129.022791781,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로 143번길 26-9,,35.088687066,129.0229446586,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로 149,,35.0890149955,129.0232259792,,전용주,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로 156,,35.0896234642,129.023577277,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 천마로 223-4,,35.0955929337,129.0222881002,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 천마로 224,,35.095459521,129.0225658311,,전용주,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 천마로 23-1,,35.0803922824,129.0202249484,,전용주,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 천마로 23-1(2),,35.0803922824,129.0202249484,,전용주,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로 77-1,,35.0839057179,129.0196837416,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로 78,,35.0838690054,129.0202266106,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로103번길 6,,35.0854496522,129.0218818234,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로104번길 10,,35.0850749431,129.0223571531,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로104번길 14-1,,35.0847594488,129.0223674524,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로111번길 12,,,,,전용주,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로111번길 5-5,,35.0857277251,129.0221916079,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로113번길 22-1,,35.0867658298,129.0223298361,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로121번길 13-6,,35.0869748505,129.0224194173,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로121번길 15-4,,35.0870826349,129.0224840235,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로121번길 21-1,,35.0873111034,129.0226124585,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로121번길 21-39,,35.086776926,129.0221076592,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로121번길 27,,35.0875687187,129.0224847352,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로122번길 24,,35.085614783,129.0228303986,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로131번길 20-3,,35.0879442511,129.0225218573,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로143번길 21-33,,35.0889670997,129.0223267454,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로143번길 25-6,,35.0890982436,129.0228006637,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로181번길 1,,35.0917403444,129.022399403,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로182번길 5,,35.0917875418,129.0228328889,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로187번길 16,,35.0922385371,129.0215175685,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로187번길 19,,35.091964694,129.0213431641,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로187번길 28-5,,35.0919929039,129.0208782076,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로187번길 9-1,,35.0922116589,129.0219565736,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로199번길 13,,35.0931264368,129.0213086887,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로199번길 27-13,,35.0923915737,129.0210356269,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로199번길 35-11,,35.0926967031,129.0203605166,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마로199번길 41-7,,35.0926640158,129.020039989,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 천마로200번길 5-2,,35.0934733878,129.022297478,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
초장동,1,부산광역시 서구 천마로201번길 17-27,,35.0932456669,129.0205571686,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
초장동,1,부산광역시 서구 천마로201번길 65,,35.0956006525,129.0213391813,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
초장동,1,부산광역시 서구 천마로201번길 73-17,,35.0957384748,129.0211210955,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
초장동,1,부산광역시 서구 천마로201번길 73-9,,35.095855711,129.0212079801,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 천마로205번길 21-5,,35.094387607,129.0213211842,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 천마로205번길 37-5,,35.0951346359,129.0214645152,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 천마로205번길 40,,35.0952144604,129.0219843493,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 천마로205번길 40(2),,35.0952144604,129.0219843493,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 천마로205번길 48,,35.095559605,129.0220927623,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 천마로27번길 10,,35.0809259217,129.0199406884,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 천마로27번길 10(2),,35.0809259217,129.0199406884,,전용주,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 천마로50번길,,,,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 천마로50번길 12,,35.0817948755,129.0222789083,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 천마로50번길 16,,35.0816598912,129.0225644479,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로50번길 39,,35.0817234012,129.0236835737,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로50번길 45,,35.0818194851,129.0239469744,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로50번길 51,,35.0820469037,129.0240410645,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로50번길 53,,35.0821339463,129.0240525338,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로50번길 55-13,,35.0820779482,129.023406858,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로50번길 65-6,,35.0821786944,129.0235313644,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로50번길 66,,35.0823998059,129.0237171678,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로50번길 72,,35.0824699838,129.0233569036,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로50번길 74,,35.0824638094,129.023170709,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로50번길 80,,35.0824857382,129.0228827045,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로77번길 20-18,,,,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로89번길 8-7,,35.085115659,129.0209533143,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마로96번길 7,,35.0845537876,129.0216496515,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마산로 102-1,,35.0868271243,129.0209889685,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마산로 124-1,,35.0878337215,129.0210982297,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
동대신1동,1,부산광역시 서구 천마산로 263,,35.0925737565,129.0172835147,,전용주,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마산로 32,,35.0844632829,129.0185256262,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마산로 3-3,,35.0843360539,129.0169003669,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마산로 3-22,,35.0844088387,129.0169238665,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마산로 56,,35.0851693578,129.0196130523,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천마산로15번길 12-31,,35.0847146972,129.0177903737,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마산로209번길 94,,35.0890405183,129.0174775877,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민1동,1,부산광역시 서구 천마산로209번길 94(2),,35.0890405183,129.0174775877,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 천마산로50번길 6-1,,,,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 천해6길 9,,,,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천해로13번길 16-14,,35.0837800605,129.0160369191,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
남부민2동,1,부산광역시 서구 천해로13번길 16-8,,35.0836934429,129.0161623985,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 천해로13번길 58,,35.0820759056,129.0178689832,,전용주,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 천해로13번나길 2-15,,35.0827399433,129.016371345,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 천해로13번나길 2-25,,35.0828491115,129.0166942635,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
암남동,1,부산광역시 서구 감천로 287,,35.0793334867,129.018374663,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
부민동,1,부산광역시 서구 고운들로 45-7,,35.1058748762,129.0177271261,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
서대신1동,1,부산광역시 서구 고운들로 150,,35.1088299451,129.0138849301,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
서대신1동,1,부산광역시 서구 고운들로 156-19,,35.1091895214,129.0133855872,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
서대신1동,1,부산광역시 서구 고운들로 196,,35.1098933094,129.0117487968,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
서대신1동,1,부산광역시 서구 고운들로 90,,35.1079735577,129.0166539348,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
서대신1동,1,부산광역시 서구 고운들로139번길 49-3,,35.10831315,129.0120331321,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
서대신4동,1,부산광역시 서구 고운들로155번길 38-20,,,,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 구덕로 120,,35.0975415693,129.0234261587,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
동대신1동,1,부산광역시 서구 구덕로 262,,35.108060643,129.0200012835,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
서대신1동,1,부산광역시 서구 구덕로 275-24,,35.1084752598,129.0175191631,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
서대신1동,1,부산광역시 서구 구덕로 295,,,,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
서대신1동,1,부산광역시 서구 구덕로 299,,35.1106488605,129.017256144,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
서대신1동,1,부산광역시 서구 구덕로 311,,35.1116286889,129.0168134388,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 구덕로114번길 23,,35.0972415345,129.0245182009,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 구덕로114번길 29,,35.0974116135,129.0247917072,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 구덕로119번길 6,,35.0950007411,129.0245030299,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 구덕로119번길 9,,35.0959384821,129.0230958602,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 구덕로119번길 9-7,,35.0960135034,129.0233361988,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 구덕로120번길 5,,35.0968716962,129.023114755,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 구덕로124번길 28-2,,35.0978690897,129.0228411538,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 구덕로134번길 34-13,,35.0988274934,129.0223172348,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 구덕로134번길 42-1,,35.0990015572,129.0221578243,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
초장동,1,부산광역시 서구 구덕로143번길 19-4,,35.0976404386,129.0197841541,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
초장동,1,부산광역시 서구 구덕로143번길 30,,35.0978276069,129.0193086119,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 구덕로148번길 16,,35.0980216659,129.0216201242,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 구덕로150번길 15-12,,35.0989821118,129.0202383217,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
충무동,1,부산광역시 서구 구덕로150번길 3-1,,35.0983715605,129.0206655876,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
초장동,1,부산광역시 서구 구덕로151번길 31-11,,35.0980506574,129.0189510595,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
초장동,1,부산광역시 서구 구덕로151번길 31-8,,35.0980003921,129.0186143978,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
초장동,1,부산광역시 서구 구덕로157번길 11,,35.0986260717,129.0192802803,,건축물,051-240-4671,부산광역시 서구청,2026-01-26
초장동,1,부산광역시 서구 구덕로163번길 19,,35.0984358127,129.0197520227,,한전주,051-240-4671,부산광역시 서구청,2026-01-26
