보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
광안로61번가길6-5,1,부산광역시 수영구 광안로61번가길 6-5,부산광역시 수영구 민락동 714-3,35.15540800,129.12076500,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길6-5(1),1,부산광역시 수영구 광안로61번가길6-5,부산광역시 수영구 민락동 714-9,35.15533500,129.12079100,2017,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길8,1,부산광역시 수영구 광안로61번가길 8,부산광역시 수영구 민락동 714-13,35.15536600,129.12055300,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길8-5,1,부산광역시 수영구 광안로61번가길8-5,부산광역시 수영구 민락동 713-22,35.15552200,129.12077100,2017,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길9,1,부산광역시 수영구 광안로61번가길 9,부산광역시 수영구 민락동 714-21,35.15546000,129.12045600,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길10,1,부산광역시 수영구 광안로61번가길 10,부산광역시 수영구 민락동 716-17,35.15549000,129.12054000,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길11-1,1,부산광역시 수영구 광안로61번가길 11-1,부산광역시 수영구 민락동 716-1,35.15566600,129.12080200,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길13,1,부산광역시 수영구 광안로61번가길 13,부산광역시 수영구 민락동 716-19,35.15553200,129.12046900,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길14,1,부산광역시 수영구 광안로61번가길 14,부산광역시 수영구 민락동 716-9,35.15562600,129.12052900,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길15-4,1,부산광역시 수영구 광안로61번가길15-4,부산광역시 수영구 민락동 717-24,35.15566600,129.12027800,2017,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길16,2,부산광역시 수영구 광안로61번가길 16,부산광역시 수영구 민락동 717-8,35.15571400,129.12052900,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길19,1,부산광역시 수영구 광안로61번가길 19,부산광역시 수영구 민락동 717-15,35.15589100,129.12044000,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길25,1,부산광역시 수영구 광안로61번가길 25,부산광역시 수영구 민락동 713-17,35.15498100,129.12029000,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길26-5,1,부산광역시 수영구 광안로61번가길 26-5,부산광역시 수영구 민락동 710-15,35.15603200,129.12060800,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길26-9,1,부산광역시 수영구 광안로61번가길26-9,부산광역시 수영구 민락동 710-19,35.15594700,129.12085000,2023,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길29,1,부산광역시 수영구 광안로61번가길 29,부산광역시 수영구 민락동 707-8,35.15624300,129.12014800,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
광안로61번가길37-15,1,부산광역시 수영구 광안로61번가길 37-15,부산광역시 수영구 민락동 717-3,35.15583200,129.12069100,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
감포로5-1,1,부산광역시 수영구 감포로 5-1,부산광역시 수영구 광안동 131-22,35.15906000,129.12050600,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길4,1,부산광역시 수영구 감포로8번길 4,부산광역시 수영구 민락동 161-9,35.15922600,129.12105100,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길18,1,부산광역시 수영구 감포로8번길 18,부산광역시 수영구 민락동 161-6,35.15926500,129.12152900,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길20,2,부산광역시 수영구 감포로8번길 20,부산광역시 수영구 민락동 161-31,35.15926500,129.12176800,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길24,1,부산광역시 수영구 감포로8번길24,부산광역시 수영구 민락동 161-1,35.15928400,129.12207300,2020,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길32,1,부산광역시 수영구 감포로8번길 32,부산광역시 수영구 민락동 160-11,35.16048700,129.12378600,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길34,1,부산광역시 수영구 감포로8번길 34,부산광역시 수영구 민락동 160-10,35.15935500,129.12252200,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길53-7,1,부산광역시 수영구 감포로8번길 53-7,부산광역시 수영구 민락동 39-12,35.15978500,129.12349000,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길53-8,1,부산광역시 수영구 감포로8번길 53-8,부산광역시 수영구 민락동 39-6,35.15951200,129.12361800,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길53-10,1,부산광역시 수영구 감포로8번길 53-10,부산광역시 수영구 민락동 39-9,35.15997700,129.12355000,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길59-7,1,부산광역시 수영구 감포로8번길 59-7,부산광역시 수영구 민락동 39-3,35.15981200,129.12384200,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길59-16,1,부산광역시 수영구 감포로8번길 59-16,부산광역시 수영구 민락동 280-1,35.16004600,129.12389500,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길59-16(2),1,부산광역시 수영구 감포로8번길59-16,부산광역시 수영구 민락동 40-1,35.16033400,129.12375100,2023,전용주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길59-16(1),1,부산광역시 수영구 감포로8번길59-16(1),부산광역시 수영구 민락동 274-3,35.16017400,129.12387100,2020,전용주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길64(1),1,부산광역시 수영구 감포로8번길 64,부산광역시 수영구 민락동 38-5,35.15947500,129.12395100,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길64(2),1,부산광역시 수영구 감포로8번길 64,부산광역시 수영구 민락동 38-5,35.15949700,129.12420700,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길78,1,부산광역시 수영구 감포로8번길 78,부산광역시 수영구 민락동 30-5,35.15966800,129.12484500,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길83,1,부산광역시 수영구 감포로8번길 83,부산광역시 수영구 민락동 316-1,35.15979200,129.12524100,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길95,1,부산광역시 수영구 감포로8번길95,부산광역시 수영구 민락동 316-6,35.15998400,129.12586600,2022,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길102,1,부산광역시 수영구 감포로8번길 102,부산광역시 수영구 민락동 29-8,35.16008700,129.12612900,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로8번길106,1,부산광역시 수영구 감포로8번길 106,부산광역시 수영구 민락동 29-1,35.16014400,129.12636400,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로12번길20,1,부산광역시 수영구 감포로12번길 20,부산광역시 수영구 민락동 158-3,35.15981400,129.12180100,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
감포로12번길26,1,부산광역시 수영구 감포로12번길 26,부산광역시 수영구 민락동 158-1,35.15982400,129.12198500,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로12번길32,1,부산광역시 수영구 감포로12번길 32,부산광역시 수영구 민락동 159-20,35.15985700,129.12232100,2016,전용주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로12번길41-2,1,부산광역시 수영구 감포로12번길 41-2,부산광역시 수영구 민락동 41-18,35.15991800,129.12281300,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로18번길17,1,부산광역시 수영구 감포로18번길 17,부산광역시 수영구 민락동 151-36,35.16029400,129.12126800,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
감포로18번길19,1,부산광역시 수영구 감포로18번길 19,부산광역시 수영구 민락동 151-31,35.16032700,129.12147700,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로18번길27,1,부산광역시 수영구 감포로18번길 27,부산광역시 수영구 민락동 151-25,35.16033700,129.12181800,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로18번길35-6,1,부산광역시 수영구 감포로18번길 35-6,부산광역시 수영구 민락동 264-3,35.16050300,129.12222200,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
감포로18번길38,1,부산광역시 수영구 감포로18번길 38,부산광역시 수영구 민락동 41-12,35.16033400,129.12247300,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로19-5,1,부산광역시 수영구 감포로 19-5,부산광역시 수영구 광안동 127-31,35.16028400,129.12005500,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
감포로38번길15,1,부산광역시 수영구 감포로38번길 15,부산광역시 수영구 민락동 149-1,35.16192200,129.12020400,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로38번길18,2,부산광역시 수영구 감포로38번길 18,부산광역시 수영구 민락동 150-28,35.16206800,129.12074300,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로42-7,1,부산광역시 수영구 감포로 42-7,부산광역시 수영구 민락동 147-5,35.16223500,129.12005600,2016,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
감포로48번길4,1,부산광역시 수영구 감포로48번길 4,부산광역시 수영구 민락동 147-19,35.16279500,129.11971400,2016,한전주,051-610-4671,부산광역시 수영구청,2026-05-28
감포로48번길10,1,부산광역시 수영구 감포로48번길10,부산광역시 수영구 민락동 147-1,35.16279900,129.11998300,2018,건축물,051-610-4671,부산광역시 수영구청,2026-05-28
