연번,설치 운영지역,설치일자
1,광안해변로15번길 54(남천1동 557 남천해변시장 앞),2008-11-01
2,수영로 464번길 6(남천1동 29-19 스타벅스 앞),2008-11-01
3,수영로 703(수영동 445-10 팔도시장입구),2010-06-01
4,황령대로 521(남천동 545-2 메가마트입구),2010-06-01
5,광안해변로 115(광남초등학교 사거리),2011-05-01
6,남천동로 106(남천2동 6-11 수영구청 밑),2012-07-01
7,남천바다로 26(남천2동 세흥시장 사거리),2012-07-01
8,광남로 48(남천2동 3-20 부산은행 앞),2013-07-01
9,수영로 712(광안3동 50-1 수영R 해운대방향),2013-07-01
10,광남로 206(민락동 162-9 동방오거리),2013-07-01
11,광안해변로 259(민락동 177-3 파로스빌딩 앞),2013-07-01
12,과정로 41(망미1동 430-2 부산은행 앞),2013-07-01
13,수영로 605-1(광안4동 566-7 광안공설시장 앞),2013-07-01
14,광안해변로 229(광안2동 192-7 만남의 광장 앞 교통섬),2013-08-01
15,황령대로 491(남천1동 296-4 삼화약국 앞),2014-06-01
16,감포로 99(광안3동 207-1 청송양곱창 앞),2014-06-01
17,수미로 59(망미2동 212-9 우리은행 망미동지점 앞),2015-02-01
18,광안로62번길 39(광안2동 193-4 대우아이빌 앞),2015-07-01
19,광남로 238 (민락동31-13 부산MBC 사거리 앞),2015-07-01
20,민락수변로 95 (민락동 110-27 수변공원관리사무소 앞),2015-10-01
21,연수로 416번길 3 (광안3동 1071 강일주유소 맞은편 ),2015-10-01
22,구락로 137(망미동 코스트코 앞),2016-05-01
23,민락수변로 147(민락동 롯데캐슬자이언트 106동 건너편 인도),2016-09-01
24,광안해변로 368(부산은행 민락동지점 앞 인도),2016-09-01
25,민락수변로7번길 60(민락동 e편한세상광안비치 101동 앞),2017-05-01
26,광안로 4(지하철 광안역 5번출구 앞),2018-06-01
27,광서로10번길 65(부산센텀병원 주차장 앞),2018-06-01
28,남천동로19번길 28(수영세무서),2018-12-01
29,수영로 632(광안1동 116-27 광안사거리),2009-04-01
30,감포로12번길(센텀비스타동원 2차 상가 앞),2019-03-01
31,수미로14번길 35(수영동 수영강동원로얄듀크 앞),2019-11-01
32,망미배산로 56(망미1동 수영SK뷰아파트 앞),2019-11-01
33,망미번영로38번길 79(광안3동 행정복지센터 부근),2019-11-01
34,광안해변로326번길 10(민락동 오션테라스아파트 102동 앞),2019-12-01
35,광안해변로326번길 32(민락동 오션테라스아파트 303동 앞),2019-12-01
36,수영로666번길 6 앞(삼정그린코아더시티오피스텔),2020-01-01
37,수영로 480(광은빌딩),2020-02-01
38,광남로48번길 12(휴대폰할인매장 앞),2020-04-01
39,남천동로 10(도농숯불갈비 앞),2020-06-01
40,호암로29번길 50(광안자이아파트 정문 앞),2020-08-01
41,호암로29번길 50(광안자이아파트 104동 앞),2020-08-01
42,광안해변로358번길 14 앞(미니스톱 민락수변공원점 사거리),2019-12-01
43,광안해변로326번길 10앞(e편한세상오션테라스 1단지 104동 앞),2019-12-01
44,민락수변로 129 앞(수변공원2호 공중화장실 앞 삼거리),2020-10-01
45,호암로 45(광안에일린의 뜰),2021-04-01
46,광안해변로54번길 222(광안해양레포츠센터),2021-06-01
47,수영로 520(초이스안경 앞),2021-08-01
48,민락수변로17번길 36(타워모트트 광안),2021-11-01
49,수영동 331-1(수영사적공원 앞),2022-01-22
50,수영동 316-1(도도어울림센터 앞),2022-01-22
51,남천서로 14(남천초등학교 정문),2022-08-01
52,광남로 258(민락초등학교 부근),2022-08-01
53,광안해변로284번길 38(해링턴타워 103동 인근),2022-12-22
54,광안해변로284번길 38(해링턴타워 101동 인근),2022-12-22
55,수영로 389(남천더샵프레스티지 104동 정문 인근),2022-12-22
56,수영로 389(남천더샵프레스티지 202동 인근),2022-12-22
57,수영로 389(남천더샵프레스티지 102동 인근),2022-12-22
58,수영로 389(남천더샵프레스티지 103동 인근),2022-12-22
59,무학로 60 일원(아우디 서비스센터 앞 사거리),2023-05-14
60,남천동로 46 일원(남천자이아파트 105동 인근),2023-09-14
61,광안해변로 323 일원(테넌바움294 맞은편),2024-01-12
62,광남로 117 앞 (구 서호병원 앞 사거리),2024-05-14
