번호,시군구명,동명,리명,도로명,교차로명,경도,위도
1,해운대구,우동,,,,129.1361233,35.16489918
2,남구,문현동,,우암로360번길 4-11,배정고교,129.0669381,35.13404386
3,동래구,온천동,,아시아드대로 232,내성로타리,129.0779878,35.20516106
4,금정구,부곡동,,장전온천천로 19-1,,129.0890750,35.22638348
5,기장군,일광면,삼성리,기장대로 672,,129.2231141,35.25492226
6,기장군,기장읍,시랑리,,,129.2213930,35.19497627
7,금정구,구서동,,중앙대로 1817,금정경찰서,129.0933882,35.24691149
8,기장군,정관읍,월평리,,정관월평사거리,129.1411664,35.35793722
9,기장군,정관읍,월평리,,정관월평사거리,129.1408841,35.35754383
10,기장군,정관읍,월평리,,정관월평사거리,129.1403246,35.35765362
11,기장군,일광면,화전리,,,129.2315208,35.27745035
12,해운대구,송정동,,해운대로 1113,(구) 송정검문소,129.2014448,35.18406246
13,해운대구,재송동,,수영강변대로 93,"센텀시티34,35지점",129.1241286,35.17364698
14,해운대구,재송동,,,유창맨션,129.1269324,35.17780250
15,해운대구,재송동,,,동부지청,129.1225919,35.18202434
16,해운대구,재송동,,,,129.1200508,35.18072040
17,연제구,거제동,,교대로11번길 17-1,,129.0792326,35.19343004
18,해운대구,재송동,,수영강변대로 276,수영4호교,129.1186900,35.18422236
19,해운대구,우동,,,,129.1360762,35.16497972
20,해운대구,재송동,,,수영4호교,129.1180561,35.18452915
21,동구,범일동,,,,129.0582116,35.13429306
22,해운대구,반여동,,,풍산금속입구,129.1210608,35.21314735
23,해운대구,석대동,,반송로 524,석대사거리,129.1194829,35.21749553
24,해운대구,석대동,,,석대사거리,129.1196067,35.21790646
25,해운대구,반여동,,반여로2번길 95,반여대우아파트입구,129.1211443,35.19592692
26,해운대구,반여동,,수영강변대로 382,원동IC㈜샤니,129.1179414,35.19369797
27,동래구,안락동,,,안락로타리,129.0971091,35.19847667
28,동래구,낙민동,,,안락로타리,129.0961963,35.19843042
29,동래구,낙민동,,,안락로타리,129.0964850,35.19803938
30,해운대구,재송동,,,,129.1250989,35.17700477
31,동래구,낙민동,,,안락로타리,129.0961503,35.19816052
32,동래구,안락동,,충렬대로 413,남창주유소,129.1046552,35.19653255
33,동래구,안락동,,명안로10번길 12-7,남창주유소,129.1049591,35.19649066
34,동래구,안락동,,,남창주유소,129.1032244,35.19651564
35,동래구,안락동,,,남창주유소,129.1030525,35.19658541
36,연제구,거제동,,중앙대로1226번길 4,교대로타리,129.0799597,35.19601658
37,연제구,거제동,,중앙대로1226번길 4,교대로타리,129.0799041,35.19616851
38,해운대구,좌동,,,,129.1870406,35.17704935
39,해운대구,좌동,,좌동순환로 237,"부흥중학교(25),(43)직결",129.1798135,35.17460153
40,해운대구,좌동,,,좌동버스종점(24),129.1782919,35.17389662
41,해운대구,재송동,,수영강변대로 93,,129.1225052,35.17543388
42,해운대구,재송동,,센텀중앙로 170,,129.1205245,35.18094425
