보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
연산2동-542,1,부산광역시 연제구 중앙천로25번길 100,부산광역시 연제구 연산동 1587-11,35.17839388,129.0784307,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산2동-543,1,부산광역시 연제구 중앙천로25번길 108,부산광역시 연제구 연산동 1587-9,35.17859648,129.0780935,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산6동-512,1,부산광역시 연제구 월드컵대로10번길 35,부산광역시 연제구 연산동 669-3,35.17626018,129.0882061,2014,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
거제4동-206,1,부산광역시 연제구 화지로76번가길 14,부산광역시 연제구 거제동 676-274,35.180945,129.065622,2014,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
거제4동-205,1,부산광역시 연제구 해맞이로67번길 11,부산광역시 연제구 거제동 676-70,35.18021038,129.0677394,2014,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
거제3동-188,1,부산광역시 연제구 거제시장로14번길 55,부산광역시 연제구 거제동 453-3,35.18344394,129.0731067,2014,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산2동-533,1,부산광역시 연제구 황령산로524번길 41,부산광역시 연제구 연산동 181-1,35.16505496,129.0832927,2012,전용주,051-665-4671,부산광역시 연제구청,2026-04-17
거제1동-275,1,부산광역시 연제구 미남로18번길 17,부산광역시 연제구 거제동 207-36,35.19607606,129.072691,2013,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
거제1동-274,1,부산광역시 연제구 미남로18번길 11,부산광역시 연제구 거제동 207-21,35.19599767,129.0723825,2013,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산9동-317,1,부산광역시 연제구 연안로13번길 87,부산광역시 연제구 연산동 398-9,35.18878886,129.1022081,2013,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산4동-349,1,부산광역시 연제구 쌍미천로119번길 42,부산광역시 연제구 연산동 644-36,35.18343036,129.0847335,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산2동-546,1,부산광역시 연제구 황령산로503번길 7,부산광역시 연제구 연산동 산 182,35.16483857,129.0822909,2013,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
거제1동-273,1,부산광역시 연제구 거제대로281번길 7,부산광역시 연제구 거제동 312-80,35.19148445,129.0772775,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산6동-511,1,부산광역시 연제구 쌍미천로7번길 19,부산광역시 연제구 연산동 2134-21,35.17453938,129.0911143,2013,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산5동-296,1,부산광역시 연제구 중앙대로1133번길 8,부산광역시 연제구 연산동 1123-16,35.18867064,129.0803454,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
거제2동-216,1,부산광역시 연제구 아시아드대로22번길 9,부산광역시 연제구 거제동 1180-16,35.18738371,129.0699744,,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
거제3동-186,1,부산광역시 연제구 거제시장로 18-30,부산광역시 연제구 거제동 599-8,35.18165611,129.0718544,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
거제3동-185,1,부산광역시 연제구 월드컵대로 193,부산광역시 연제구 거제동 37-40,35.18780457,129.075371,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산6동-510,1,부산광역시 연제구 배산북로 46,부산광역시 연제구 연산동 1849-20,35.17799291,129.0949652,2013,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산2동-544,1,부산광역시 연제구 황령산로524번가길 23,부산광역시 연제구 연산동 산 181-1,35.16454201,129.0831981,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산2동-545,1,부산광역시 연제구 황령산로521번가길 18-1,부산광역시 연제구 연산동 산 183-2,35.16621912,129.0811237,2013,전용주,051-665-4671,부산광역시 연제구청,2026-04-17
거제2동-314,1,부산광역시 연제구 월드컵대로 236-5,부산광역시 연제구 거제동 1040-2,35.19032611,129.0715722,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산6동-509,1,부산광역시 연제구 쌍미천로47번길 45,부산광역시 연제구 연산동 671-10,35.17702127,129.0867671,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산9동-316,1,부산광역시 연제구 과정로191번나길 36-1,부산광역시 연제구 연산동 414-14,35.1868393,129.1044655,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산9동-315,1,부산광역시 연제구 고분로253번길 19-1,부산광역시 연제구 연산동 475-35,35.18541283,129.1096395,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산5동-295,1,부산광역시 연제구 중앙대로1065번길 68-1,부산광역시 연제구 연산동 1292-32,35.18511966,129.0762469,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산4동-348,1,부산광역시 연제구 쌍미천로141번길 9-1,부산광역시 연제구 연산동 638-36,35.18500085,129.0866648,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산4동-347,1,부산광역시 연제구 월드컵대로92번길 51-1,부산광역시 연제구 연산동 647-20,35.18304773,129.0861887,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산4동-346,1,부산광역시 연제구 쌍미천로109번길 18-1,부산광역시 연제구 연산동 649-22,35.18256045,129.0862481,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산3동-347,1,부산광역시 연제구 금련로 54-11,부산광역시 연제구 연산동 1816-66,35.16955456,129.0951202,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산2동-541,1,부산광역시 연제구 중앙천로25번길 50-3,부산광역시 연제구 연산동 806-4,35.17760977,129.0804404,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산1동-230,1,부산광역시 연제구 연동로14번길 22-1,부산광역시 연제구 연산동 317-28,35.18835616,129.0922764,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
거제1동-271,1,부산광역시 연제구 여고로52번길 25,부산광역시 연제구 거제동 199-17,35.19479196,129.0701046,2013,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산4동-345,1,부산광역시 연제구 대리로5번길 54,부산광역시 연제구 연산동 1232-2,35.18342863,129.083921,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산4동-344,1,부산광역시 연제구 빈송로 18,부산광역시 연제구 연산동 603-41,35.18681616,129.0830959,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
거제1동-270,1,부산광역시 연제구 중앙대로1249번길 20,부산광역시 연제구 거제동 106-2,35.19799594,129.0777676,2013,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산4동-343,1,부산광역시 연제구 대리로12번길 21,부산광역시 연제구 연산동 1706-11,35.18032445,129.085307,2013,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
거제3동-184,1,부산광역시 연제구 거제시장로11번길 42,부산광역시 연제구 거제동 496-11,35.17913597,129.070997,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산2동-540,1,부산광역시 연제구 중앙천로 77-5,부산광역시 연제구 연산동 1320-72,35.18076249,129.0796697,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산4동-342,1,부산광역시 연제구 쌍미천로84번길 63,부산광역시 연제구 연산동 1315-140,35.18088594,129.0890254,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산5동-294,1,부산광역시 연제구 거제천로124번길 66,부산광역시 연제구 연산동 1481-23,35.18311914,129.0782077,2013,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
거제1동-269,1,부산광역시 연제구 거제대로281번길 11,부산광역시 연제구 거제동 312-79,35.19156865,129.077118,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
거제3동-183,1,부산광역시 연제구 거제대로 128-11,부산광역시 연제구 거제동 740-159,35.17995665,129.0699318,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
거제3동-179,1,부산광역시 연제구 거제시장로 11,부산광역시 연제구 거제동 488-1,35.18058701,129.0720371,2012,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
거제1동-272,1,부산광역시 연제구 거제대로267번길 22,부산광역시 연제구 거제동 312-111,35.19128874,129.0768554,2013,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산4동-218,1,부산광역시 연제구 묘봉산로 4,부산광역시 연제구 연산동 1136-5,35.18253158,129.0874554,2011,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산9동-312,1,부산광역시 연제구 고분로254번길 14,부산광역시 연제구 연산동 484-12,35.18385252,129.109739,2012,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산9동-314,1,부산광역시 연제구 연안로13번길 97,부산광역시 연제구 연산동 398-7,35.18879386,129.1016591,2012,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산9동-313,1,부산광역시 연제구 토곡로 50-1,부산광역시 연제구 연산동 11-1,35.18229148,129.1020324,2012,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산8동-258,1,부산광역시 연제구 안연로7번길 39,부산광역시 연제구 연산동 382-23,35.18840165,129.0991943,2012,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산8동-259,1,부산광역시 연제구 과정로 279-3,부산광역시 연제구 연산동 370-7,35.18774842,129.0966821,2012,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산8동-254,1,부산광역시 연제구 과정로 275,부산광역시 연제구 연산동 370-18,35.1877891,129.0971658,2012,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산8동-257,1,부산광역시 연제구 과정로276번길 9,부산광역시 연제구 연산동 366-47,35.18856449,129.0971433,2012,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산8동-256,1,부산광역시 연제구 안연로7번길 28,부산광역시 연제구 연산동 360-30,35.18842809,129.0992606,2012,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산8동-255,1,부산광역시 연제구 과정로294번길 15,부산광역시 연제구 연산동 344-26,35.18911376,129.0952182,2012,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산6동-508,1,부산광역시 연제구 월드컵대로46번길 7,부산광역시 연제구 연산동 686-7,35.17878277,129.0853414,2012,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산4동-351,1,부산광역시 연제구 쌍미천로141번길 17-1,부산광역시 연제구 연산동 638-15,35.18501321,129.086138,2012,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산5동-293,1,부산광역시 연제구 신촌로23번길 40-7,부산광역시 연제구 연산동 1503-19,35.18221259,129.0747373,2012,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산4동-341,1,부산광역시 연제구 대리로 29-4,부산광역시 연제구 연산동 652-31,35.18157898,129.0870989,2012,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산4동-340,1,부산광역시 연제구 쌍미천로135번길 5-1,부산광역시 연제구 연산동 639-19,35.18454735,129.0868235,2012,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산6동-527,1,부산광역시 연제구 대리로6번길 78,부산광역시 연제구 연산동 685-16,35.17774176,129.0858326,2016,전용주,051-665-4671,부산광역시 연제구청,2026-04-17
연산6동-528,1,부산광역시 연제구 대리로6번길 94,부산광역시 연제구 연산동 684-6,35.17711742,129.0860987,2016,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산2동-538,1,부산광역시 연제구 중앙대로1040번길 3,부산광역시 연제구 연산동 1325-11,35.18096913,129.0781077,2016,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산2동-56,1,부산광역시 연제구 중앙대로1040번길 3,부산광역시 연제구 연산동 1325-11,35.18096913,129.0781077,2016,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산2동-54,1,부산광역시 연제구 중앙대로 1044-12,부산광역시 연제구 연산동 1311-19,35.18129438,129.0783744,2016,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산2동-557,1,부산광역시 연제구 연수로82번길 9,부산광역시 연제구 연산동 844-23,35.17500134,129.079813,2016,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
연산6동-525,1,부산광역시 연제구 쌍미천로7번길 73,부산광역시 연제구 연산동 1876-208,35.17607272,129.089005,2016,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산8동-267,1,부산광역시 연제구 과정로260번길 9,부산광역시 연제구 연산동 363-43,35.18843168,129.0988654,2016,한전주,051-665-4671,부산광역시 연제구청,2026-04-17
연산9동-324,1,부산광역시 연제구 과정로132번길 67-1,부산광역시 연제구 연산동 131-3,35.18335626,129.1107753,2016,건축물,051-665-4671,부산광역시 연제구청,2026-04-17
