시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,관리기관명,관리기관전화번호,데이터기준일자
연산5동 행정복지센터,부산광역시,연제구,26470,부산광역시 연제구 거제천로 124번길 15,부산광역시 연제구 연산동 1478-1,35.18448121,129.0760738,00:00,23:59,00:00,23:59,00:00,23:59,24,0,0,1,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/03,01/01+02/08+03/10,01/60+02/60+03/60,01/50+02/50+03/50,01/19.2+02/19.2+03/19.2,2017-09-15,051-612-1912,부산광역시 연제구,051-665-5874,2026-06-01
연산6동 행정복지센터,부산광역시,연제구,26470,부산광역시 연제구 쌍미천로 52번길 2,부산광역시 연제구 연산동 2149-2,35.17741821,129.0896601,00:00,23:59,00:00,23:59,00:00,23:59,24,0,0,1,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/03,01/01+02/08+03/10,01/60+02/60+03/60,01/50+02/50+03/50,01/19.2+02/19.2+03/19.2,2017-09-15,051-612-1912,부산광역시 연제구,051-665-5894,2026-06-01
거제2동 행정복지센터,부산광역시,연제구,26470,부산광역시 연제구 아시아드대로22번길 15,부산광역시 연제구 거제동 1180-10,35.18764372,129.0701315,00:00,23:59,00:00,23:59,00:00,23:59,24,0,0,1,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/03,01/01+02/04+03/11,01/60+02/60+03/60,01/50+02/50+03/50,01/67.5+02/45+03/22.5,2021-05-28,1600-5136,부산광역시 연제구,051-665-5732,2026-06-01
거제3동 행정복지센터,부산광역시,연제구,26470,부산광역시 연제구 거제대로 180,부산광역시 연제구 거제동 581-1,35.18428113,129.071201,00:00,23:59,00:00,23:59,00:00,23:59,24,0,0,1,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/03,01/01+02/04+03/11,01/60+02/60+03/60,01/50+02/50+03/50,01/67.5+02/45+03/22.5,2021-05-28,1600-5136,부산광역시 연제구,051-665-5751,2026-06-01
(구)연산2동 행정복지센터,부산광역시,연제구,26470,부산광역시 연제구 중앙대로1038번길 39,부산광역시 연제구 연산동 1597-12,35.1799726,129.0792969,00:00,23:59,00:00,23:59,00:00,23:59,24,0,0,1,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/03,01/01+02/04+03/11,01/60+02/60+03/60,01/50+02/50+03/50,01/67.5+02/45+03/22.5,2021-05-28,1600-5136,부산광역시 연제구,051-665-4647,2026-06-01
거제4동 행정복지센터,부산광역시,연제구,26470,부산광역시 연제구 화지로52번길 33,부산광역시 연제구 거제동 760-6,35.18000113,129.0658872,00:00,23:59,00:00,23:59,00:00,23:59,24,0,0,1,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/03,02/03+03/08,02/60+03/60,02/50+03/50,02/45+03/22.5,2021-05-01,1600-5136,부산광역시 연제구,051-665-5772,2026-06-01
거제1동 부산교육대학교앞,부산광역시,연제구,26470,부산광역시 연제구 교대로 21,부산광역시 연제구 거제동 87-1,35.195466,129.077675,00:00,23:59,00:00,23:59,00:00,23:59,24,0,0,1,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/03,02/03+03/08,02/60+03/60,02/50+03/50,02/45+03/22.5,2021-12-15,1600-5136,부산광역시 연제구,051-665-4647,2026-06-01
연산4동 우물쉼터,부산광역시,연제구,26470,부산광역시 연제구 대리로5번길 47,부산광역시 연제구 연산동 1230-124,35.183139,129.083748,00:00,23:59,00:00,23:59,00:00,23:59,24,0,0,1,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/03,02/03+03/08,02/60+03/60,02/50+03/50,02/45+03/22.5,2021-12-15,1600-5136,부산광역시 연제구,051-665-4647,2026-06-01
연산3동 행정복지센터,부산광역시,연제구,26470,부산광역시 연제구 연수로208번길 16,부산광역시 연제구 연산동 1829,35.17293313,129.0929105,00:00,23:59,00:00,23:59,00:00,23:59,24,0,0,1,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/03,02/03+03/08,02/60+03/60,02/50+03/50,02/45+03/22.5,2025-04-15,1600-5136,부산광역시 연제구,051-665-5831,2026-06-01
연산1동 행정복지센터,부산광역시,연제구,26470,부산광역시 연제구 연동로8번길 66,부산광역시 연제구 연산동 313-10,35.1899872658,129.0904324,00:00,23:59,00:00,23:59,00:00,23:59,24,0,0,1,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/03,01/01+02/08+03/10,01/60+02/60+03/60,01/50+02/50+03/50,01/19.2+02/19.2+03/19.2,2015-01-10,1599-2740,부산광역시 연제구,051-665-5791,2026-06-01
