보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
남항동203,1,부산광역시 영도구 절영로94번길 47,,35.084492,129.038558,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동204,1,부산광역시 영도구 남항서로 12-7,,35.083206,129.0378695,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동205,1,부산광역시 영도구 절영로94번길 60-1,,35.084808,129.037963,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동206,1,부산광역시 영도구 남항남로 33-6,,35.084667,129.0378596,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동207,1,부산광역시 영도구 절영로94번길 52-4,,35.084723,129.038406,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동208,1,부산광역시 영도구 절영로94번길 52-6,,35.084789,129.038436,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동210,1,부산광역시 영도구 남항남로 23-12,,35.085175,129.0374257,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동211,1,부산광역시 영도구 남항남로25번길 14-1,,35.084964,129.0375964,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동212,1,부산광역시 영도구 남항남로25번길 11-1,,35.085001,129.037567,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동213,1,부산광역시 영도구 남항남로 29-3,,35.084972,129.037399,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동214,1,부산광역시 영도구 남항남로25번길 7,,35.086277,129.0377791,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동215,1,부산광역시 영도구 남항남로 25-1,,35.085147,129.037170,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동217,1,부산광역시 영도구 남항남로31번길 25,,35.085708,129.0375816,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동218,1,부산광역시 영도구 남항서로70번길 54-10,,35.085612,129.037750,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동219,1,부산광역시 영도구 남항서로70번길 54-2,,35.085834,129.0378704,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동220,1,부산광역시 영도구 남항남로19번길 3,,35.085472,129.036590,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동221,1,부산광역시 영도구 남항남로 17-2,,35.085529,129.036422,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동222,1,부산광역시 영도구 남항남로11번길 21,,35.085712,129.036560,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동223,1,부산광역시 영도구 남항남로11번길 20,,35.085678,129.036422,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동224,1,부산광역시 영도구 남항남로 15-5,,35.085617,129.036239,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동225,1,부산광역시 영도구 남항남로11번길 13-1,,35.085807,129.036132,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동226,1,부산광역시 영도구 남항남로11번길 11-1,,35.085906,129.036087,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동227,1,부산광역시 영도구 남항남로 13-4,,35.085674,129.035964,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동228,1,부산광역시 영도구 남항남로11번길 5,,35.085922,129.035781,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동229,1,부산광역시 영도구 남항남로9번길 6,,35.085876,129.0356578,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동230,1,부산광역시 영도구 남항남로11번길 17,,35.085798,129.0362977,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동231,1,부산광역시 영도구 남항남로19번길 10,,35.085750,129.0369285,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동232,1,부산광역시 영도구 남항남로19번길 9,,35.085788,129.036688,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동233,1,부산광역시 영도구 남항남로19번길 11-9,,35.085857,129.036544,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동234,1,부산광역시 영도구 남항남로9번길 12-24,,35.085926,129.036270,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동235,1,부산광역시 영도구 남항서로70번길 22-19,,35.086119,129.036163,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동236,1,부산광역시 영도구 남항서로70번길 22-13,,35.086147,129.0360942,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동237,1,부산광역시 영도구 남항서로70번길 22-10,,35.086151,129.036026,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동238,1,부산광역시 영도구 남항남로9번길 12-3,,35.086146,129.0358793,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동239,1,부산광역시 영도구 남항남로19번길 18,,35.085912,129.037017,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동240,1,부산광역시 영도구 남항서로70번길 36,,35.086242,129.0369044,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동241,1,부산광역시 영도구 남항서로70번길 46-2,,35.086019,129.037414,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동242,1,부산광역시 영도구 남항남로19번길 30,,35.086621,129.037567,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동243,1,부산광역시 영도구 남항서로70번길 52,,35.085979,129.037719,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동244,1,부산광역시 영도구 남항서로70번길 51,,35.086326,129.0379439,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동245,1,부산광역시 영도구 남항서로70번길 52-1,,35.085956,129.037796,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동246,1,부산광역시 영도구 남항서로70번길 56,,35.085880,129.037994,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동247,1,부산광역시 영도구 남항서로70번길 59-2,,35.085857,129.0383027,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동248,1,부산광역시 영도구 남항서로70번길 66,,35.085693,129.038558,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동249,1,부산광역시 영도구 남항서로70번길 72,,35.085584,129.0386943,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동250,1,부산광역시 영도구 남항서로70번길 74-3,,35.085409,129.0384215,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동251,1,부산광역시 영도구 남항서로70번길 74-3,,35.085409,129.0384215,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동252,1,부산광역시 영도구 남항서로70번길 74-14,,35.085624,129.0383948,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동253,1,부산광역시 영도구 남항서로70번길 76,,35.085515,129.0388105,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동254,1,부산광역시 영도구 절영로94번길 32-5,,35.084852,129.0387326,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동255,1,부산광역시 영도구 남항서로70번길 76,,35.085515,129.0388105,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동256,1,부산광역시 영도구 절영로94번길 34,,35.084911,129.038940,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동257,1,부산광역시 영도구 절영로94번길 42,,35.084529,129.0386849,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동258,1,부산광역시 영도구 남항남로 10-1,,35.085582,129.0355084,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동259,1,부산광역시 영도구 남항남로 10-5,,35.085430,129.0354168,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동260,1,부산광역시 영도구 남항남로 6,,35.085649,129.0349758,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동261,1,부산광역시 영도구 남항남로 3-1,,35.086013,129.035049,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동262,1,부산광역시 영도구 남항남로9번길 3-7,,35.086044,129.035217,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동263,1,부산광역시 영도구 남항남로9번길 3-3,,35.085968,129.035339,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동264,1,부산광역시 영도구 남항남로9번길 14-2,,35.086288,129.035827,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동265,1,부산광역시 영도구 남항남로9번길 14-7,,35.086254,129.036010,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동266,1,부산광역시 영도구 남항남로9번길 16-7,,35.086322,129.0359492,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동267,1,부산광역시 영도구 남항남로9번길 16-9,,35.086296,129.0360995,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동268,1,부산광역시 영도구 남항남로9번길 18-5,,35.086404,129.036010,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동269,1,부산광역시 영도구 남항남로9번길 20-8,,35.086383,129.036193,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동270,1,부산광역시 영도구 남항남로9번길 22,,35.086521,129.0360073,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동271,1,부산광역시 영도구 남항서로70번길 7,,35.086916,129.035598,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동272,1,부산광역시 영도구 남항서로70번길 1,,35.087008,129.035339,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동273,1,부산광역시 영도구 남항서로 72,,35.087131,129.035369,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동274,1,부산광역시 영도구 남항서로 76-4,,35.087293,129.035578,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동275,1,부산광역시 영도구 남항서로 78-3,,35.087670,129.035858,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동276,1,부산광역시 영도구 남항서로 82번길,,35.087821,129.035812,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동277,1,부산광역시 영도구 남항서로 82번길,,35.087585,129.036117,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동278,1,부산광역시 영도구 남항남로9번길 37,,35.08729957,129.036254,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동279,1,부산광역시 영도구 남항남로9번길 39-3,,35.087360,129.036117,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동280,1,부산광역시 영도구 남항남로9번길 33-7,,35.087078,129.0358778,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동281,1,부산광역시 영도구 남항남로9번길 29-9,,35.086967,129.035842,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동282,1,부산광역시 영도구 남항서로70번길 22,,35.086540,129.0362096,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동283,1,부산광역시 영도구 남항서로70번길 30,,35.086391,129.0366168,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동284,1,부산광역시 영도구 남항남로19번길 30,,35.086621,129.0375415,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동285,1,부산광역시 영도구 남항남로19번길 30,,35.086621,129.0375415,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동286,1,부산광역시 영도구 남항남로19번길 37,,35.086818,129.0372568,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동287,1,부산광역시 영도구 남항남로19번길 39-19,,35.086949,129.0369851,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동288,1,부산광역시 영도구 남항남로19번길 39-21,,35.087162,129.036849,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동289,1,부산광역시 영도구 남항서로82번길 39,,35.087165,129.0377181,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동290,1,부산광역시 영도구 남항서로82번길 31,,35.087414,129.0373395,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동291,1,부산광역시 영도구 남항서로82번길 43,,35.087133,129.037918,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동292,1,부산광역시 영도구 남항서로82번길 50,,35.086837,129.038085,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동293,1,부산광역시 영도구 남항서로82번길 48-18,,35.086658,129.0379742,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동294,1,부산광역시 영도구 남항서로82번길 48-26,,35.086639,129.037841,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동295,1,부산광역시 영도구 남항서로82번길 48-15,,35.086631,129.038238,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동296,1,부산광역시 영도구 남항서로82번길 48-34,,35.086513,129.0379818,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동297,1,부산광역시 영도구 남항서로82번길 48-38,,35.086452,129.037918,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동298,1,부산광역시 영도구 남항서로70번길 59-7,,35.086292,129.038314,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동299,1,부산광역시 영도구 남항서로82번길 56-27,,35.086406,129.038528,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동300,1,부산광역시 영도구 남항서로82번길 64-14,,35.086238,129.038558,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동301,1,부산광역시 영도구 남항서로70번길 59-6,,35.085976,129.038391,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동302,1,부산광역시 영도구 남항서로82번길 64-8,,35.086414,129.038726,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동303,1,부산광역시 영도구 남항서로82번길 56-9,,35.086502,129.038574,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동304,1,부산광역시 영도구 남항서로82번길 56-6,,35.086602,129.0383606,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동305,1,부산광역시 영도구 남항서로82번길 56,,35.086769,129.038467,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동306,1,부산광역시 영도구 남항서로82번길 51,,35.086952,129.038223,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동307,1,부산광역시 영도구 남항서로82번길 55,,35.086853,129.0385284,,전용주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동308,1,부산광역시 영도구 남항서로82번길 55-11,,35.087013,129.038391,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동309,1,부산광역시 영도구 남항서로82번길 59-6,,35.086899,129.0388071,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동310,1,부산광역시 영도구 남항서로82번길 59,,35.086820,129.0387411,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동311,1,부산광역시 영도구 남항서로82번길 60-4,,35.086725,129.038497,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
남항동312,1,부산광역시 영도구 남항서로82번길 64-1,,35.086632,129.038818,,한전주,051-419-4671,부산광역시 영도구청,2026-04-06
