보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
광복동001,1,,부산광역시 중구 광복동1가 62,35.0988646644,129.0342355174,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동002,1,,부산광역시 중구 광복동1가 7,35.0990895433,129.0338853230,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동003,2,부산광역시 중구 광복로 69-1,부산광역시 중구 광복동2가 20,35.0989610310,129.0327308921,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동004,1,부산광역시 중구 광복로67번길 11,부산광역시 중구 광복동2가 2-41,35.0991441835,129.0324387216,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동005,1,,부산광역시 중구 광복동2가 2-9,35.0994599065,129.0322898327,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동006,1,부산광역시 중구 광복로67번길 20-12,부산광역시 중구 광복동2가 2-53,35.0995577083,129.0321069822,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동007,1,,부산광역시 중구 광복동2가 2-56,35.0994954742,129.0320127876,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동008,1,부산광역시 중구 광복로 59-1,부산광역시 중구 광복동2가 11-1,35.0993410213,129.0317495092,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동009,1,부산광역시 중구 광복로67번길 28,부산광역시 중구 광복동2가 2-11,35.0996693120,129.0318198307,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동010,1,,부산광역시 중구 광복동2가 3-4,35.0998398399,129.0316017062,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동011,1,부산광역시 중구 광복로67번길 30-18,부산광역시 중구 광복동3가 5-6,35.1000140613,129.0316233362,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동012,1,,부산광역시 중구 광복동2가 1-39,35.0999752432,129.0316431306,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동013,1,부산광역시 중구 광복중앙로 14-12,부산광역시 중구 광복동3가 6,35.1005321211,129.0313076709,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동014,1,부산광역시 중구 광복중앙로 14-56,부산광역시 중구 광복동3가 5-26,35.1005463933,129.0313916911,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동015,1,부산광역시 중구 광복중앙로 14-52,부산광역시 중구 광복동3가 5-27,35.1004858434,129.0314341597,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동016,1,부산광역시 중구 광복중앙로 14-46,부산광역시 중구 광복동3가 5-30,35.1003414677,129.0314829911,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동017,1,부산광역시 중구 광복중앙로24번길 4,부산광역시 중구 광복동3가 1-1,35.1014281020,129.0312304487,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동018,2,부산광역시 중구 광복로49번길 33,부산광역시 중구 신창동1가 30-1,35.1021486421,129.0302271018,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동019,2,부산광역시 중구 광복로49번길 35,부산광역시 중구 신창동1가 38-1,35.1023809912,129.0302093986,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동020,2,부산광역시 중구 광복중앙로33번길 10,부산광역시 중구 신창동1가 38-6,35.1023826083,129.0299084316,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동021,2,부산광역시 중구 광복중앙로33번길 9-2,부산광역시 중구 신창동1가 35-5,35.1020827153,129.0298266473,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동022,2,부산광역시 중구 광복중앙로33번길 13,부산광역시 중구 신창동2가 4-1,35.1020880825,129.0294900265,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동023,1,부산광역시 중구 광복중앙로33번길 14-2,부산광역시 중구 신창동2가 2-7,35.1022785942,129.0294091086,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동024,3,부산광역시 중구 광복로39번길 31,부산광역시 중구 신창동2가 32-1,35.1020095411,129.0290570212,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동025,2,부산광역시 중구 광복로39번길 35-2,부산광역시 중구 신창동2가 35-3,35.1024574408,129.0290399429,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동026,1,부산광역시 중구 광복로39번길 38,부산광역시 중구 신창동2가 1-1,35.1026367641,129.0292881555,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동027,1,부산광역시 중구 중구로48번길 9,부산광역시 중구 신창동3가 3-1,35.1023127291,129.0288882097,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동028,1,부산광역시 중구 광복로35번길 35,부산광역시 중구 신창동3가 39,35.1025426090,129.0286304028,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동029,1,부산광역시 중구 중구로48번길 8-1,부산광역시 중구 신창동3가 37-1,35.1021478703,129.0286748991,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동030,2,부산광역시 중구 국제시장2길 29,부산광역시 중구 신창동4가 39-1,35.1019476556,129.0283018217,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동031,2,부산광역시 중구 광복로35번길 33,부산광역시 중구 신창동4가 4,35.1023114182,129.0285950655,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동032,1,부산광역시 중구 중구로54번길 4,부산광역시 중구 신창동4가 49-7,35.1025628496,129.0282556589,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동033,2,부산광역시 중구 중구로48번길 8,부산광역시 중구 신창동4가 5-1,35.1021242631,129.0285400948,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동034,1,부산광역시 중구 중구로44번길 8-1,부산광역시 중구 신창동3가 33-6,35.1016993585,129.0286962409,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동035,1,부산광역시 중구 광복로35번길 27,부산광역시 중구 신창동3가 33-5,35.1017911601,129.0287194604,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동037,2,부산광역시 중구 중구로44번길 17,부산광역시 중구 신창동2가 8-1,35.1019071417,129.0296613184,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동038,2,부산광역시 중구 중구로44번길 19,부산광역시 중구 신창동1가 32-2,35.1019049046,129.0298271723,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동039,1,부산광역시 중구 광복중앙로33번길 11-3,부산광역시 중구 신창동1가 35-7,35.1020278258,129.0296926023,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동040,2,,부산광역시 중구 신창동2가 37,35.1013807374,129.0293882434,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동041,2,부산광역시 중구 광복로49번길 31,부산광역시 중구 신창동1가 32-1,35.1019273131,129.0302002291,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동042,2,부산광역시 중구 광복로49번길 27,부산광역시 중구 신창동1가 29-1,35.1017375594,129.0302412489,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동043,2,부산광역시 중구 광복로49번길 25,부산광역시 중구 신창동1가 23,35.1015850807,129.0301121307,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동044,1,부산광역시 중구 광복중앙로 25,부산광역시 중구 신창동1가 5-1,35.1015501909,129.0306455064,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동045,2,부산광역시 중구 광복로49번길 19-2,부산광역시 중구 신창동1가 17-1,35.1010075744,129.0303239153,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동046,2,부산광역시 중구 중구로34번길 20-1,부산광역시 중구 신창동1가 17-7,35.1009490955,129.0300329767,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동047,1,부산광역시 중구 광복로43번길 18-6,부산광역시 중구 신창동2가 17-17,35.1007537663,129.0299172719,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동048,2,부산광역시 중구 광복로43번길 16,부산광역시 중구 신창동2가 17-20,35.1006694111,129.0296915951,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동049,2,부산광역시 중구 광복로43번길 18-1,부산광역시 중구 신창동2가 16-2,35.1009249422,129.0296779742,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동050,2,부산광역시 중구 광복로43번길 22,부산광역시 중구 신창동2가 15-1,35.1012524563,129.0296602168,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동051,1,부산광역시 중구 중구로40번길 17,부산광역시 중구 신창동2가 12-3,35.1014618266,129.0295993960,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동052,2,부산광역시 중구 중구로40번길 19,부산광역시 중구 신창동2가 11-2,35.1015893694,129.0298507088,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동053,2,부산광역시 중구 중구로40번길 11-1,부산광역시 중구 신창동2가 30-2,35.1014838921,129.0291050687,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동054,1,부산광역시 중구 광복로35번길 23,부산광역시 중구 신창동3가 31-1,35.1014339547,129.0287451484,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동055,1,부산광역시 중구 중구로34번길 8-1,부산광역시 중구 신창동4가 13-1,35.1008775737,129.0286210461,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동056,2,부산광역시 중구 중구로40번길 7,부산광역시 중구 신창동4가 10-3,35.1014121367,129.0285680627,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동057,1,부산광역시 중구 중구로40번길 8,부산광역시 중구 신창동4가 11-2,35.1012284972,129.0285345627,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동058,2,부산광역시 중구 국제시장2길 19,부산광역시 중구 신창동4가 34-1,35.1011203747,129.0283073100,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동059,2,부산광역시 중구 중구로34번길 8,부산광역시 중구 신창동4가 13-3,35.1008875627,129.0285465092,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동060,1,부산광역시 중구 국제시장2길 33,부산광역시 중구 신창동4가 44-3,35.1023803656,129.0283038817,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동061,1,부산광역시 중구 국제시장2길 33,부산광역시 중구 신창동4가 44-3,35.1023803656,129.0283038817,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동062,1,,부산광역시 중구 신창동4가 51-5,35.1023102474,129.0279432477,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동063,1,부산광역시 중구 중구로 52,부산광역시 중구 신창동4가 51-2,35.1023980082,129.0280950942,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동064,1,부산광역시 중구 중구로 31,부산광역시 중구 신창동4가 56-4,35.1011157973,129.0280584993,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동065,1,부산광역시 중구 중구로 31,부산광역시 중구 신창동4가 56-4,35.1011157973,129.0280584993,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동066,1,부산광역시 중구 중구로 46,부산광역시 중구 신창동4가 41-3,35.1019547162,129.0280845489,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동067,1,부산광역시 중구 국제시장2길 25,부산광역시 중구 신창동4가 38-3,35.1015402677,129.0283105873,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동068,1,부산광역시 중구 국제시장2길 25,부산광역시 중구 신창동4가 38-3,35.1015402677,129.0283105873,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동069,1,부산광역시 중구 국제시장2길 25,부산광역시 중구 신창동4가 38-3,35.1015402677,129.0283105873,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동070,1,부산광역시 중구 국제시장2길 25,부산광역시 중구 신창동4가 38-3,35.1015402677,129.0283105873,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동071,1,부산광역시 중구 국제시장2길 25,부산광역시 중구 신창동4가 38-3,35.1015402677,129.0283105873,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동072,1,부산광역시 중구 중구로 42,부산광역시 중구 신창동4가 40-5,35.1015391210,129.0280721680,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동073,1,부산광역시 중구 국제시장2길 25,부산광역시 중구 신창동4가 38-3,35.1015402677,129.0283105873,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동074,1,부산광역시 중구 중구로 31,부산광역시 중구 신창동4가 56-4,35.1011157973,129.0280584993,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동075,1,부산광역시 중구 중구로 31,부산광역시 중구 신창동4가 56-4,35.1011157973,129.0280584993,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동076,1,부산광역시 중구 중구로 31,부산광역시 중구 신창동4가 56-4,35.1011157973,129.0280584993,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동077,1,부산광역시 중구 중구로 31,부산광역시 중구 신창동4가 56-4,35.1011157973,129.0280584993,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동078,1,부산광역시 중구 중구로 36,부산광역시 중구 신창동4가 35-3,35.1011157973,129.0280584993,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동079,1,,부산광역시 중구 신창동4가 35-2,35.1011767895,129.0281767900,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동080,1,부산광역시 중구 중구로 31,부산광역시 중구 신창동4가 56-4,35.1011157973,129.0280584993,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동081,1,부산광역시 중구 중구로 31,부산광역시 중구 신창동4가 56-4,35.1011157973,129.0280584993,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동082,1,부산광역시 중구 중구로 31,부산광역시 중구 신창동4가 56-4,35.1011157973,129.0280584993,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동083,1,부산광역시 중구 중구로 31,부산광역시 중구 신창동4가 56-4,35.1011157973,129.0280584993,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동084,1,부산광역시 중구 국제시장2길 15,부산광역시 중구 신창동4가 27-1,35.1006931156,129.0283080171,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동085,1,부산광역시 중구 국제시장2길 15,부산광역시 중구 신창동4가 27-1,35.1006931156,129.0283080171,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동086,1,부산광역시 중구 중구로 32,부산광역시 중구 신창동4가 60-3,35.1006920785,129.0280522776,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동087,1,부산광역시 중구 중구로 28,부산광역시 중구 신창동4가 21-3,35.1002305869,129.0280522477,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동088,1,부산광역시 중구 중구로 31,부산광역시 중구 신창동4가 56-4,35.1011157973,129.0280584993,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동089,1,부산광역시 중구 중구로 31,부산광역시 중구 신창동4가 56-4,35.1011157973,129.0280584993,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동090,1,부산광역시 중구 국제시장2길 9,부산광역시 중구 신창동4가 20-3,35.1002402864,129.0283073232,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동091,1,부산광역시 중구 국제시장2길 9,부산광역시 중구 신창동4가 20-3,35.1002402864,129.0283073232,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동092,1,부산광역시 중구 국제시장2길 16,부산광역시 중구 신창동4가 15-2,35.1006447118,129.0285886290,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동093,2,부산광역시 중구 중구로30번길 7,부산광역시 중구 신창동4가 16-1,35.1005688073,129.0285847741,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동094,1,부산광역시 중구 국제시장2길 12-1,부산광역시 중구 신창동4가 18-1,35.1003535969,129.0285907350,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동095,2,부산광역시 중구 국제시장2길 9,부산광역시 중구 신창동4가 20-3,35.1002402864,129.0283073232,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동096,2,부산광역시 중구 국제시장2길 6-3,부산광역시 중구 창선동2가 25,35.0999668266,129.0286114143,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동097,1,부산광역시 중구 국제시장2길 6-2,부산광역시 중구 창선동2가 24-1,35.0998781033,129.0286142596,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동098,2,부산광역시 중구 국제시장2길 6,부산광역시 중구 창선동2가 24-2,35.0997518538,129.0286301008,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동099,1,부산광역시 중구 광복로 31,부산광역시 중구 창선동2가 22-2,35.0994832000,129.0285770599,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동100,1,,부산광역시 중구 신창동1가 18-4,35.1009474221,129.0299284344,2023,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동102,1,,부산광역시 중구 창선동2가 40-5,35.0995640754,129.0278414249,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동103,1,부산광역시 중구 중구로 22,부산광역시 중구 창선동2가 35-1,35.0997180267,129.0280397681,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동104,1,부산광역시 중구 중구로 22,부산광역시 중구 창선동2가 35-1,35.0997180267,129.0280397681,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동107,1,부산광역시 중구 중구로 22,부산광역시 중구 창선동2가 35-1,35.0997180267,129.0280397681,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동108,2,부산광역시 중구 중구로24번길 10,부산광역시 중구 창선동2가 17-1,35.1000138336,129.0287749759,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
광복동109,1,부산광역시 중구 광복로35번길 7,부산광역시 중구 창선동2가 19-1,35.0998905602,129.0287852983,2022,건축물,051-600-4697,부산광역시 중구청,2026-03-25
