번호,시군구명,동명,리명,도로명,교차로명,경도,위도
1,부산진구,전포동,,전포대로 159,전포3PB,129.0652783,35.15096053
2,부산진구,전포동,,전포대로 159,전포3PB,129.0655399,35.15070522
3,부산진구,전포동,,전포대로 159,전포3PB,129.0653496,35.15100739
4,부산진구,전포동,,전포대로 159,전포3PB,129.0655050,35.15074624
5,부산진구,전포동,,전포대로 159,전포3PB,129.0654302,35.15100786
6,부산진구,전포동,,전포대로 159,전포3PB,129.0654678,35.15074530
7,부산진구,전포동,,전포대로 159,전포3PB,129.0653141,35.15097519
8,부산진구,전포동,,전포대로 181,전포3PB,129.0655159,35.15205619
9,사상구,엄궁동,,낙동대로 733,,128.9696128,35.12780614
10,부산진구,전포동,,전포대로 181,전포3PB,129.0652880,35.15214653
11,부산진구,전포동,,전포대로 181,전포3PB,129.0653386,35.15208489
12,부산진구,전포동,,서전로58번길 118,전포3PB,129.0654929,35.15187504
13,부산진구,전포동,,서전로58번길 119,전포3PB,129.0654189,35.15208013
14,부산진구,전포동,,전포대로 181,전포3PB,129.0655544,35.15225284
15,부산진구,전포동,,전포대로 181,전포3PB,129.0654253,35.15211329
16,부산진구,전포동,,전포대로 181,전포3PB,129.0656263,35.15184442
17,부산진구,전포동,,,전포3PB,129.0651842,35.15168672
18,부산진구,전포동,,서전로58번길 119,전포3PB,129.0653809,35.15207791
19,부산진구,전포동,,,전포3PB,129.0654121,35.15261136
20,부산진구,전포동,,,전포3PB,129.0654138,35.15244470
21,부산진구,전포동,,전포대로 181,전포3PB,129.0654162,35.15232693
22,부산진구,전포동,,전포대로 181,전포3PB,129.0653853,35.15228575
23,부산진구,전포동,,서전로58번길 118,전포3PB,129.0653330,35.15260487
24,부산진구,전포동,,,전포3PB,129.0655121,35.15329022
25,부산진구,전포동,,서전로58번길 118,전포3PB,129.0652641,35.15228372
26,부산진구,전포동,,서전로58번길 94,전포3PB,129.0652874,35.15338925
27,부산진구,전포동,,서전로58번길 69,전포3PB,129.0654768,35.15325258
28,부산진구,전포동,,서전로58번길 70,전포3PB,129.0652514,35.15338706
29,부산진구,전포동,,서전로58번길 69,전포3PB,129.0654421,35.15325145
30,부산진구,전포동,,,상공회의소,129.0629937,35.14852605
31,부산진구,전포동,,서전로58번길 70,전포3PB,129.0652164,35.15337348
32,부산진구,전포동,,,,129.0655749,35.15328229
33,부산진구,전포동,,,전포3PB,129.0656233,35.15266410
34,부산진구,전포동,,서전로58번길 94,전포3PB,129.0651705,35.15284555
35,부산진구,전포동,,동천로95번길 7,밀리오레,129.0625930,35.15778976
36,부산진구,전포동,,동천로95번길 7,밀리오레,129.0631660,35.15779229
37,부산진구,전포동,,동천로95번길 7,밀리오레,129.0631197,35.15773371
38,부산진구,전포동,,동천로95번길 7,밀리오레,129.0631417,35.15776095
39,부산진구,전포동,,동천로95번길 7,밀리오레,129.0631348,35.15770263
40,부산진구,전포동,,,밀리오레,129.0631418,35.15782990
41,부산진구,전포동,,,밀리오레,129.0631085,35.15762355
42,부산진구,전포동,,동천로95번길 7,밀리오레,129.0625013,35.15767434
43,부산진구,전포동,,동천로95번길 7,밀리오레,129.0622046,35.15768807
44,부산진구,전포동,,,밀리오레,129.0621962,35.15781888
45,사하구,신평동,,하신번영로151번길 57,,128.9557215,35.09609463
46,부산진구,전포동,,동천로95번길 7,밀리오레,129.0624145,35.15768023
47,부산진구,전포동,,,밀리오레,129.0624319,35.15782436
48,동구,범일동,,중앙대로548번길 6,범천로타리,129.0582756,35.14582809
49,동구,범일동,,중앙대로548번길 6,범천로타리,129.0583070,35.14580683
50,동구,범일동,,중앙대로548번길 6,범천로타리,129.0583647,35.14581228
51,부산진구,범천동,,신천대로65번길 78-1,범천로타리,129.0587520,35.14673571
52,동구,범일동,,중앙대로548번길 6,범천로타리,129.0582385,35.14583576
53,동구,범일동,,중앙대로548번길 6,범천로타리,129.0581982,35.14584161
54,부산진구,범천동,,황령대로17번길 10,,129.0609116,35.14779382
55,부산진구,범천동,,황령대로17번길 10,,129.0610381,35.14783858
56,부산진구,범천동,,,,129.0604148,35.14773944
57,부산진구,범천동,,,,129.0603875,35.14773002
58,부산진구,범천동,,,,129.0603631,35.14772165
59,부산진구,범천동,,,,129.0603357,35.14771220
60,부산진구,범천동,,,,129.0603096,35.14770318
61,부산진구,범천동,,,,129.0602791,35.14769269
62,부산진구,범천동,,,,129.0602553,35.14768448
63,부산진구,범천동,,황령대로 15-1,범천로타리,129.0603324,35.14771019
64,부산진구,범천동,,,범천로타리,129.0601026,35.14763236
65,부산진구,범천동,,,범천로타리,129.0600745,35.14762281
66,부산진구,범천동,,,범천로타리,129.0600493,35.14761427
67,부산진구,범천동,,,범천로타리,129.0600242,35.14760574
68,부산진구,범천동,,,범천로타리,129.0600634,35.14761919
69,부산진구,범천동,,황령대로17번길 10,범천로타리,129.0605610,35.14768776
70,부산진구,전포동,,,상공회의소,129.0629526,35.14841707
71,부산진구,범천동,,황령대로17번길 10,범천로타리,129.0606004,35.14772989
72,부산진구,범천동,,황령대로17번길 10,,129.0609037,35.14789280
73,부산진구,범천동,,황령대로17번길 10,범천로타리,129.0605381,35.14773874
74,부산진구,범천동,,황령대로17번길 12-1,,129.0609117,35.14792660
75,부산진구,범천동,,,범천로타리,129.0601739,35.14767278
76,부산진구,범천동,,황령대로17번길 10,,129.0609917,35.14780811
77,부산진구,범천동,,황령대로 15-1,범천로타리,129.0602217,35.14754372
78,부산진구,전포동,,,상공회의소,129.0641773,35.14910016
79,부산진구,전포동,,,상공회의소,129.0645006,35.14910054
80,부산진구,전포동,,,상공회의소,129.0644725,35.14912210
81,부산진구,전포동,,,상공회의소,129.0642664,35.14894126
82,부산진구,전포동,,,상공회의소,129.0643084,35.14892361
83,부산진구,전포동,,,상공회의소,129.0640353,35.14879660
84,부산진구,전포동,,,상공회의소,129.0643053,35.14885701
85,부산진구,전포동,,,상공회의소,129.0635730,35.14863901
86,부산진구,전포동,,,상공회의소,129.0634694,35.14870239
87,부산진구,전포동,,,상공회의소,129.0641504,35.14916087
88,부산진구,범천동,,황령대로17번길 12-1,,129.0614565,35.14812384
89,부산진구,전포동,,,상공회의소,129.0644023,35.14881479
90,부산진구,전포동,,,상공회의소,129.0628765,35.14828056
91,부산진구,전포동,,,상공회의소,129.0628180,35.14854614
92,부산진구,전포동,,,상공회의소,129.0631448,35.14847711
93,부산진구,전포동,,,상공회의소,129.0629872,35.14846136
94,부산진구,전포동,,,상공회의소,129.0630391,35.14850844
95,부산진구,전포동,,,상공회의소,129.0632925,35.14856438
96,부산진구,전포동,,,상공회의소,129.0627421,35.14849291
97,부산진구,전포동,,,상공회의소,129.0629266,35.14853427
98,부산진구,전포동,,,상공회의소,129.0627278,35.14847025
99,부산진구,전포동,,,상공회의소,129.0632071,35.14892159
100,부산진구,전포동,,,상공회의소,129.0630145,35.14872596
101,부산진구,전포동,,,상공회의소,129.0630823,35.14888804
102,부산진구,전포동,,,상공회의소,129.0629832,35.14873378
103,부산진구,전포동,,,상공회의소,129.0629258,35.14874521
104,부산진구,전포동,,,상공회의소,129.0629258,35.14870415
105,부산진구,전포동,,전포대로 181,진여중,129.0655253,35.15573564
106,부산진구,전포동,,,상공회의소,129.0627061,35.14830604
107,부산진구,전포동,,황령대로 19,상공회의소,129.0625919,35.14858758
108,부산진구,전포동,,황령대로17번길 10,상공회의소,129.0624626,35.14839360
109,부산진구,전포동,,,상공회의소,129.0620613,35.14829484
110,부산진구,전포동,,,상공회의소,129.0620584,35.14826488
111,부산진구,전포동,,,상공회의소,129.0620867,35.14824556
112,부산진구,전포동,,,상공회의소,129.0620992,35.14822180
113,부산진구,범천동,,황령대로17번길 12-1,,129.0615420,35.14806920
114,부산진구,전포동,,황령대로17번길 10,상공회의소,129.0624407,35.14846081
115,부산진구,범천동,,,상공회의소,129.0619472,35.14829435
116,부산진구,전포동,,,상공회의소,129.0621069,35.14819520
117,부산진구,범천동,,황령대로17번길 12-1,,129.0613315,35.14799901
