보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
송정동197,1,,부산광역시 해운대구 송정동 136-7,35.18370056,129.1999432,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동198,1,부산광역시 해운대구 송정1로8번길 25,부산광역시 해운대구 송정동 136-12,35.18348694,129.1996625,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동199,1,,부산광역시 해운대구 송정동 928,35.18345726,129.1967006,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동200,1,부산광역시 해운대구 송정1로8번길 14,부산광역시 해운대구 송정동 140-8,35.18270096,129.1996333,,,051-749-4671,부산광역시 해운대구청,2025-11-13
반송1동209,1,부산광역시 해운대구 아랫반송로21번길 132-13,부산광역시 해운대구 반송동 275-184,35.228870,129.1491852,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동201,1,부산광역시 해운대구 송정1로8번길 14,부산광역시 해운대구 송정동 140-8,35.18270096,129.1996333,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동202,1,부산광역시 해운대구 송정1로7번길 5,부산광역시 해운대구 송정동 157-5,35.18197192,129.1991907,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동203,1,부산광역시 해운대구 송정1로7번길 9,부산광역시 해운대구 송정동 157-11,35.18183136,129.199064,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동204,1,부산광역시 해운대구 송정1로7번길 16,부산광역시 해운대구 송정동 156-5,35.18173933,129.1985216,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동205,1,부산광역시 해운대구 송정1로7번길 23,부산광역시 해운대구 송정동 157-9,35.18140625,129.1987259,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동206,1,부산광역시 해운대구 송정1로7번길 24-6,부산광역시 해운대구 송정동 156-9,35.18148041,129.198415,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동207,1,부산광역시 해운대구 송정1로7번길 24-12,부산광역시 해운대구 송정동 156-8,35.18165944,129.1981201,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동208,1,부산광역시 해운대구 송정1로7번길 25,부산광역시 해운대구 송정동 305-1,35.1811051,129.1985075,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동209,1,,부산광역시 해운대구 송정동 산53-37,35.17969103,129.1957161,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동210,1,,부산광역시 해운대구 송정동 산58-1,35.17868423,129.1928888,,,051-749-4671,부산광역시 해운대구청,2025-11-13
반송1동210,1,부산광역시 해운대구 아랫반송로21번길 132-6,부산광역시 해운대구 반송동 275-204,35.22882462,129.148819,,,051-749-4671,부산광역시 해운대구청,2025-11-13
송정동211,1,,부산광역시 해운대구 송정동 산58,35.17990403,129.1918872,,,051-749-4671,부산광역시 해운대구청,2025-11-13
