업체기관관리번호,업체명,주소,상세주소,업종코드
0000272,(주)KT 재송지점,부산광역시 해운대구 재송동  1043-2,재송전화국,통신
0000273,(주)KT 조달본부,연제구 연산2동1980-2,연제구 연산2동1980-2,통신
0000274,(주)KT 해운대지점,해운대구 우1동 548,해운대구 우1동 548,통신
0000275,해운대경찰서,해운대구 재송1동 1094-1,해운대구 재송1동 1094-1,기타
0000233,(주)KT 동부산지사,부산광역시 동래구 명륜로 116,,통신
0000227,(주)KT 남부산지사,동구 자성공원로 23,범일동 830-29 KT부산정보통신센터,통신
0000225,(주)KT 가야지점,"부산광역시 부산진구 가야2동	161번지","부산광역시 부산진구 가야2동	161번지",통신
0000226,(주)KT 건설단,"서울 특별시 서초구 방배동	1001-1호","서울 특별시 서초구 방배동	1001-1호",통신
0000512,다슬건설(주) / 아세아토목(주),부산시동래구명륜동,부산시동래구명륜동,기타
0000513,상용건설(주) / 서광건설(주),부산시동래구안락동,부산시동래구안락동,기타
0000514,홍산건설(주) / 아세아토목(주),부산시동래구안락동,부산시동래구안락동,기타
0000515,성포건설(주) / 아세아토목(주),부산시연제구연산4동,부산시연제구연산4동,기타
0000517,거산토건(주),부산광역시 강서구 대저2동 1888-6,1888-6번지,기타
0000518,경동(주),자료없슴,자료없슴,기타
0000519,경인(주),부산광역시 수영구 광안2동,부산광역시 수영구 광안2동,기타
0000520,광명토건(주),부산광역시 동래구 명장1동,부산광역시 동래구 명장1동,기타
0000525,대연양지재건축조합,자료없슴,자료없슴,기타
0000526,대연양지재건축조합극동건설(주),부산시 남구 대연5동,부산시 남구 대연5동,기타
0000527,대한주택공사 부산지사장,자료없슴,자료없슴,기타
0000528,돌샘산업(주),부산광역시 동래구 명륜동,부산광역시 동래구 명륜동,기타
0000529,동아지질(주),자료없슴,자료없슴,기타
0000531,범일전화국(대연분국),부산광역시 남구 대연3동,부산광역시 남구 대연3동,통신
0000532,부산망건설국,경남 김해시 구산동       ,경남 김해시 구산동       ,통신
0000533,부산시 건설과,부산시 연제구 연산5동,부산시 연제구 연산5동,기타
0000536,일신건설산업(주),자료없슴,자료없슴,기타
0000538,조광종합건설(주),부산시 남구 대연3동,부산시 남구 대연3동,기타
0000211,(주)KT 중부산지사,"부산광역시 중구 중앙동 4가	77-5","부산광역시 중구 중앙동 4가	77-5",통신
0000231,(주)KT 부산진지점,"부산광역시 부산진구 부전1동	134번지","부산광역시 부산진구 부전1동	134번지",통신
0000232,(주)KT 서부산지사,부산광역시서구아미동1가 1번지,부산광역시서구아미동1가 1번지,통신
0000276,(주)강호건설,부산 영도구 봉래동2가,부산 영도구 봉래동2가,기타
0000277,(주)동성토건,부산 동구 초량동,부산 동구 초량동,기타
0000278,(주)금도건설,부산 금정구 구서중앙로42,,기타
0000279,(주)파워콤 영남지역본부,부산 동구 초량3동 한국감정원빌딩,부산 동구 초량3동 한국감정원빌딩,통신
0000280,(주)푸른영도,부산 중구 중앙동3가,부산 중구 중앙동3가,기타
0000281,(주)KT 영도지점,부산 영도구 남항동1가,,통신
0000500,상용건설(주),부산시동래구안락동,부산시동래구안락동,기타
0000501,아세아토목(주),부산시동래구복천동,부산시동래구복천동,기타
0000502,다슬건설(주),부산시동래구명륜동,부산시동래구명륜동,기타
