공간정보일련번호,지형지물명,등록구,관리기관,명칭,구경,형식,최대유량,가설일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
27,유량계,부산진구,시설관리사업소,안창태영택시1,150,터어빈형,,1997-12-01,,양호,상수맨홀,부산진구,권역
29,유량계,부산진구,시설관리사업소,범일6동양수선100,100,터어빈형,,1997-12-01,,양호,상수맨홀,부산진구,권역
30,유량계,부산진구,시설관리사업소,한전변전소앞100,100,터어빈형,,1999-12-01,,양호,상수맨홀,부산진구,권역
31,유량계,서구,시설관리사업소,송도,500,초음파식,276070.26,2020-03-23,감천배수지,양호,,,권역
32,유량계,금정구,시설관리사업소,명장협진1,800,초음파식,0,2017-05-31,덕천가압장(시내),양호,상수맨홀,금정구,권역
34,유량계,부산진구,부산진사업소,19-2블록 유량계,200,전자식,0,2017-03-02,사상가압장(신설),양호,,부산진구,블록
35,유량계,연제구,동래통합사업소,(구)신도극장(시청앞),300,터어빈형,0,1999-12-01,사상가압장(신설),양호,상수맨홀,연제구,권역
36,유량계,연제구,시설관리사업소,하마정,1500,초음파식,286789.01,2018-08-15,사상가압장(신설),양호,상수맨홀,연제구,권역
37,유량계,동래구,시설관리사업소,온천전철,1000,초음파식,0,2021-04-08,오륜배수지,양호,,동래구,권역
38,유량계,부산진구,부산진사업소,32-2블록 유량계,150,전자식,284604.66,2025-03-19,전포2배수지,양호,,부산진구,블록
39,유량계,부산진구,부산진사업소,32-3블록 유량계,300,초음파식,284580.02,2002-09-08,전포2배수지,양호,,,블록
40,유량계,북구,북부사업소,7-1블록 유량계,200,전자식,2533,2013-11-21,덕산정수장(생활직송),양호,상수맨홀,북구,블록
41,유량계,동구,중동부사업소,3블록유량계,400,전자식,1181,2019-05-16,개금1배수지,양호,상수맨홀,동구,블록
42,유량계,남구,남부사업소,제28블록 유량계,300,전자식,282127.57,2017-01-01,덕천가압장(시내),양호,,남구,블록
43,유량계,사하구,사하사업소,9블록 유량계,150,전자식,275,2019-03-13,덕산정수장(생활직송),양호,상수맨홀,사하구,블록
44,유량계,사하구,사하사업소,33블록 유량계,300,초음파식,275855.21,2015-10-15,성화원부스터,양호,상수맨홀,사하구,블록
45,유량계,사하구,시설관리사업소,하단1,1200,초음파식,0,2017-05-30,사상가압장(신설),양호,상수맨홀,사하구,권역
46,유량계,남구,남부사업소,제22블록 유량계,300,전자식,0,2017-01-01,사상가압장(신설),양호,,남구,블록
47,유량계,서구,서부사업소,7-2블록 유량계(구3-4),150,전자식,0,2015-10-06,수정산터널배수지,양호,,서구,블록
48,유량계,영도구,영도사업소,12블록 유량계(13-2통합,300,초음파식,277161.83,2021-05-24,청학배수지,양호,상수맨홀,영도구,블록
49,유량계,수영구,남부사업소,제10블록유량계,400,초음파식,285122.39,2018-04-17,덕천가압장(시내),양호,,수영구,블록
50,유량계,동구,중동부사업소,13블록유량계,300,초음파식,1650,2003-10-30,영주배수지,양호,,동구,블록
51,유량계,부산진구,부산진사업소,48블록 유량계,200,전자식,282941.79,2017-03-02,개금2배수지,양호,,부산진구,블록
52,유량계,서구,서부사업소,15블록 유량계,250,초음파식,0,2023-03-20,아미배수지,양호,,,블록
