id,sigun_gu,lat,lon,geom,facility_type
1,何魂矫,128.9119632,35.0957499,,10
2,何魂矫,129.0504699,35.1570105,,10
3,何魂矫,129.136033,35.1690857,,10
4,何魂矫,129.0037574,35.1976953,,10
5,何魂矫,129.0122671,35.2088819,,10
6,何魂矫,129.2143527,35.190424,,10
7,何魂柳备,129.068615,35.1715892,,10
8,何魂柳备,129.0539434,35.1646746,,10
9,何魂柳备,129.0258107,35.157326,,10
10,碍辑备,128.8774858,35.0850685,,10
11,碍辑备,128.898595,35.0866776,,10
12,碍辑备,128.9305668,35.1072157,,10
13,合备,129.0137984,35.2339897,,10
14,合备,129.0083703,35.2218601,,10
15,合备,129.0049894,35.2085159,,10
16,合备,128.9957212,35.2035324,,10
17,合备,129.0128185,35.2405664,,10
18,合备,129.0134792,35.212169,,10
19,合备,129.0354552,35.2097019,,10
20,合备,129.008845,35.219284,,10
21,合备,128.9951616,35.1968099,,10
22,合备,129.0304804,35.2105514,,10
23,合备,129.0049756,35.2066147,,10
24,楷力备,129.067249,35.1926363,,10
25,楷力备,129.0802882,35.194702,,10
26,荤窍备,128.9658343,35.0482164,,10
27,荤窍备,128.979247,35.0631924,,10
28,荤窍备,128.9766331,35.0747972,,10
29,荤窍备,128.9566629,35.0992456,,10
30,荤窍备,128.9842623,35.10014,,10
31,荤窍备,129.0018688,35.0883156,,10
32,荤窍备,128.9922309,35.0995588,,10
33,荤窍备,128.9615185,35.1161004,,10
34,秦款措备,129.1198554,35.2041178,,10
35,康档备,129.043874,35.0919587,,10
36,悼备,129.0390337,35.127429,,10
37,悼备,129.0482039,35.1388273,,10
38,悼备,129.0569746,35.1390393,,10
39,悼备,129.0480236,35.1285571,,10
40,陛沥备,129.0992242,35.2151557,,10
41,陛沥备,129.0925065,35.2652942,,10
42,悼贰备,129.0646661,35.1951135,,10
43,悼贰备,129.062288,35.1961453,,10
44,何魂矫,129.2082751,35.1962391,,10
