개방자치단체코드,관리번호,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치연도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3250000,202532500000900043,부산 중구-5,방범용,기타,6차 주교좌중앙성당,부산광역시 중구 대청로 99번길 5-1,부산광역시 중구 대청동4가 94,35.10343966,129.0306149,양방향,N,N,N,CCTV,2017,2025-10-30,Y,부산광역시 중구청,051-600-4171,2025-10-30,I,2026-05-15 18:45:46,2025-10-30 10:08:48
3250000,202532500000900053,부산 중구-15,방범용,건물,영주1동 주민센터,부산광역시 중구 대영로224번길 10,부산광역시 중구 영주동 671-3,35.11110305,129.0350204,양방향,Y,N,N,,2020,2025-10-30,Y,부산광역시 중구청,051-600-4174,2025-10-30,I,2026-05-15 18:45:46,2025-10-30 10:08:48
3250000,202532500000900048,부산 중구-10,방범용,건물,대청동 주민센터,부산광역시 중구 대청로99번길 14-1,부산광역시 중구 대청동2가 2-2,35.10424061,129.031089,양방향,Y,N,N,,2020,2025-10-30,Y,부산광역시 중구청,051-600-4174,2025-10-30,I,2026-05-15 18:45:46,2025-10-30 10:08:48
3250000,202532500000900050,부산 중구-12,방범용,건물,부평동 주민센터,부산광역시 중구 중구로29번길 23,부산광역시 중구 부평동1가 30-27,35.10036107,129.0265387,양방향,Y,N,N,,2020,2025-10-30,Y,부산광역시 중구청,051-600-4174,2025-10-30,I,2026-05-15 18:45:46,2025-10-30 10:08:48
3250000,202532500000900047,부산 중구-9,방범용,건물,동광동 주민센터,부산광역시 중구 동광길 49,부산광역시 중구 대청동1가 44-3,35.10500721,129.0344802,양방향,Y,N,N,,2020,2025-10-30,Y,부산광역시 중구청,051-600-4174,2025-10-30,I,2026-05-15 18:45:46,2025-10-30 10:08:48
3250000,202532500000900056,부산 중구-18,방범용,건물,중구청(1층 당직실),부산광역시 중구 중구로 120,부산광역시 중구 대청동1가 1-4,35.10619725,129.0323514,양방향,Y,N,N,,2020,2025-10-30,Y,부산광역시 중구청,051-600-4174,2025-10-30,I,2026-05-15 18:45:46,2025-10-30 10:08:48
3250000,202532500000900044,부산 중구-6,방범용,화장실,복병산체육공원 공중화장실,부산광역시 중구 샘길 10 (대청동1가),부산광역시 중구 대청동1가 6-4,35.105565,129.032507,양방향,Y,N,N,경보등+경보음+CCTV,2016,2025-08-07,Y,부산광역시 중구청,051-600-4442,2025-11-06,I,2026-05-15 18:45:46,2025-11-06 13:51:54
3250000,202532500000900040,부산 중구-2,방범용,기타,남포CGV뒷골목_회전,부산광역시 중구 중구로5번길 11,부산광역시 중구 남포동6가 72-1,35.09793403,129.0269802,양방향,N,N,N,CCTV,2017,2025-10-30,Y,부산광역시 중구청,051-600-4171,2025-10-30,I,2026-05-15 18:45:46,2025-10-30 10:08:48
3250000,202532500000900046,부산 중구-8,방범용,건물,중앙동 주민센터,부산광역시 중구 중앙대로41번길 10,부산광역시 중구 중앙동2가 19,35.10130243,129.0353425,양방향,Y,N,N,,2020,2025-10-30,Y,부산광역시 중구청,051-600-4174,2025-10-30,I,2026-05-15 18:45:46,2025-10-30 10:08:48
3250000,202532500000900055,부산 중구-17,방범용,건물,중구청(민원봉사과),부산광역시 중구 중구로 120,부산광역시 중구 대청동1가 1-4,35.10619725,129.0323514,양방향,Y,N,N,,2020,2025-10-30,Y,부산광역시 중구청,051-600-4174,2025-10-30,I,2026-05-15 18:45:46,2025-10-30 10:08:48
