연번,시설명,상세주소,x좌표,y좌표
1,대평초등학교,부산광역시 영도구 절영로 82 (남항동2가),129.0385803,35.08778239
2,영도초등학교,부산광역시 영도구 꿈나무길 41 (신선동1가),129.0454334,35.08881409
3,신선초등학교,부산광역시 영도구 산정길 17 (신선동3가),129.0474616,35.08364198
4,선암초등학교,부산광역시 부산진구 엄광로 412(범천동),129.0488987,35.14875815
5,전포초등학교,부산광역시 부산진구 전포대로255번길 38(전포동),129.0626057,35.1598433
6,봉삼초등학교,부산광역시 영도구 함지로79번길 39 (동삼동),129.0636229,35.07480041
7,남항초등학교,부산광역시 영도구 남항새싹길 55 (영선동4가),129.0434461,35.08329682
8,상리초등학교,부산광역시 영도구 상리로 38 (동삼동),129.0671518,35.08408322
9,절영초등학교,부산광역시 영도구 함지로 37 (동삼동),129.0633002,35.07280216
10,중리초등학교,부산광역시 영도구 와치로 286 (동삼동),129.0704855,35.07421853
11,가산초등학교,부산광역시 부산진구 엄광로182번길 49(가야동),129.0358045,35.14625311
12,개화초등학교,부산광역시 부산진구 개금본동로66번길 1212(개금동),129.0186294,35.15811636
13,동양초등학교,부산광역시 부산진구 백양산로 99(부암동),129.0305821,35.17670115
14,부전초등학교,부산광역시 부산진구 부전로65번길 25(부전동),129.0530702,35.15511923
15,성북초등학교,부산광역시 부산진구 황령대로 79(전포동),129.0678164,35.15160212
16,초읍초등학교,부산광역시 부산진구 성지로104번길 26(초읍동),129.0539884,35.18073264
17,양동초등학교,부산광역시 부산진구 황령산로605번길 3510(양정동),129.0818854,35.17193061
18,낙민초등학교,부산광역시 동래구 충렬대로272번길 34 (낙민동),129.0887527,35.19939982
19,달북초등학교,부산광역시 동래구 쇠미로 131 (온천동),129.0599895,35.20360275
20,사직초등학교,부산광역시 동래구 쇠미로81번길 7 (사직동),129.0541212,35.20081453
21,여고초등학교,부산광역시 동래구 여고로63번가길 12 (사직동),129.0691149,35.1978674
22,예원초등학교,부산광역시 동래구 사직로 78 (사직동),129.0570426,35.19587531
23,대남초등학교,부산광역시 남구 황령대로353번길 9-55(대연동),129.0975077,35.14885889
24,동천초등학교,부산광역시 남구 석포로26번길 22(감만동),129.0833867,35.12128413
25,용산초등학교,부산광역시 남구 동명로176번길 55(용호동),129.116213,35.1163452
26,금창초등학교,부산광역시 효열로235번길 14(금곡동),129.0198399,35.26572379
27,만덕초등학교,부산광역시 만덕1로 72(만덕동),129.0295024,35.21481569
28,백산초등학교,부산광역시 덕천로259번길 23(만덕동),129.0330034,35.21207045
29,백양초등학교,부산광역시 덕천로 358-1(만덕동),129.0428516,35.20910261
30,화명꿈(유치원),부산광역시 금곡대로 359(금곡동),129.0136789,35.24066706
31,화잠초등학교,부산광역시 화명대로 97-25(화명동),129.0176868,35.23594621
32,창의글로벌(어린이집),부산광역시 효열로 276(덕천동),129.0184933,35.26747798
33,학사초등학교,부산광역시 용당로15번길 20(화명동),129.0079131,35.23143687
34,무정초등학교,부산광역시 반여로 68-11,129.1239737,35.19810943
35,사하초등학교,부산광역시 낙동대로 266(괴정동),128.9874989,35.10007243
36,하남초등학교,부산광역시 하신번영로 186(하단동),128.9600201,35.09947087
37,서전초등학교,부산광역시 감천로105번길 10(감천동),129.0039152,35.08871511
38,장전초등학교,부산광역시 수림로 90(장전동),129.0830099,35.24140594
39,광안초등학교,부산광역시 광안로35번길 42(광안동),129.1171302,35.15741328
40,해빛(유치원),부산광역시 일광면 삼성리 376 일원,129.2252036,35.25997101
41,온샘초등학교,부산광역시 동래구 충렬대로75번길 25 (온천동),129.0685698,35.20957073
