개방자치단체코드,관리번호,자전거보관소명,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,보관대수,설치연도,설치형태,차양막설치여부,공기주입기비치여부,공기주입기유형명,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3250000,202632500000300001,중구-01,부산광역시 중구 중앙대로 2,부산광역시 중구 중앙동7가 20-1,35.09830687,129.0367029,10,2020,거치형,Y,N,,N,051-600-4554,부산광역시 중구청,2026-05-07,I,2026-05-15 18:45:05,2026-05-07 11:42:05
3250000,202632500000300009,중구-09,부산광역시 중구 구덕로 3,부산광역시 중구 남포동1가 25,35.097705,129.035184,8,2016,거치형,N,N,,N,051-600-4554,부산광역시 중구청,2026-05-07,I,2026-05-15 18:45:05,2026-05-07 11:42:05
3250000,202632500000300002,중구-02,부산광역시 중구 구덕로 4,부산광역시 중구 광복동1가 40-2,35.09830801,129.0351327,10,2008,거치형,N,N,,N,051-600-4554,부산광역시 중구청,2026-05-07,I,2026-05-15 18:45:05,2026-05-07 11:42:05
3250000,202632500000300003,중구-03,부산광역시 중구 광복로 78-1,부산광역시 중구 광복동2가 30-3,35.09837495,129.0332922,10,2024,거치형,N,N,,N,051-600-4554,부산광역시 중구청,2026-05-07,I,2026-05-15 18:45:05,2026-05-07 11:42:05
3250000,202632500000300006,중구-06,부산광역시 중구 중앙대로 2,부산광역시 중구 중앙동7가 20-1,35.09830687,129.0367029,32,2024,거치형,N,N,,N,051-600-4554,부산광역시 중구청,2026-05-07,I,2026-05-15 18:45:05,2026-05-07 11:42:05
3250000,202632500000300011,중구-11,부산광역시 중구 구덕로 63,부산광역시 중구 남포동6가 47-2,35.097741,129.028843,9,2025,거치형,N,N,,N,051-600-4554,부산광역시 중구청,2026-05-07,I,2026-05-15 18:45:05,2026-05-07 11:42:05
3250000,202632500000300008,중구-08,부산광역시 중구 구덕로 5,부산광역시 중구 남포동1가 54-2,35.09754208,129.0350216,8,2016,거치형,N,N,,N,051-600-4554,부산광역시 중구청,2026-05-07,I,2026-05-15 18:45:05,2026-05-07 11:42:05
3250000,202632500000300005,중구-05,부산광역시 중구 흑교로 30,부산광역시 중구 부평동2가 76-10,35.10212236,129.0254155,10,2018,거치형,N,N,,N,051-600-4554,부산광역시 중구청,2026-05-07,I,2026-05-15 18:45:05,2026-05-07 11:42:05
3250000,202632500000300004,중구-04,부산광역시 중구 광복로 84,부산광역시 중구 광복동1가 54,35.09827288,129.0340046,10,2024,거치형,N,N,,N,051-600-4554,부산광역시 중구청,2026-05-07,I,2026-05-15 18:45:05,2026-05-07 11:42:05
3250000,202632500000300007,중구-07,부산광역시 중구 구덕로 33,부산광역시 중구 남포동4가 15-3,35.09769431,129.031749,10,2016,거치형,N,N,,N,051-600-4554,부산광역시 중구청,2026-05-07,I,2026-05-15 18:45:05,2026-05-07 11:42:05
