prkplceNo,prkplceNm,prkplceSe,prkplceType,rdnmadr,lnmadr,prkcmprt,feedingSe,enforceSe,operDay,weekdayOperOpenHhmm,weekdayOperColseHhmm,satOperOperOpenHhmm,satOperCloseHhmm,holidayOperOpenHhmm,holidayCloseOpenHhmm,parkingchrgeInfo,basicTime,basicCharge,addUnitTime,addUnitCharge,dayCmmtktAdjTime,dayCmmtkt,monthCmmtkt,metpay,spcmnt,institutionNm,phoneNumber,latitude,longitude,pwdbsPpkZoneYn,referenceDate,insttCode,insttNm
133-2-000023,청학스카이웨이,공영,노외,부산광역시 영도구 청학남로 15,부산광역시 영도구 청학동 446-67,45,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,1200,2400,52000,현금,,부산광역시 영도구청,051-419-4552,35.0902062,129.0593647,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000024,영도중학교옆,공영,노외,부산광역시 영도구 동삼남로 32,부산광역시 영도구 동삼동 328-22,20,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,1200,2400,52000,현금,,부산광역시 영도구청,051-419-4552,35.077534,129.0692786,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000025,영도해녀문화전시관,공영,노외,부산광역시 영도구 중리남로 2-36,부산광역시 영도구 동삼동 640-14,28,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,1200,2400,52000,현금,,부산광역시 영도구청,051-419-4552,35.06773357,129.0657989,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000026,신선스카이웨이,공영,노외,부산광역시 영도구 산제당길 154,부산광역시 영도구 신선동2가 141-84,49,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,1200,2400,52000,현금+카드,,부산광역시 영도구청,051-419-4552,35.086553,129.0483665,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000027,봉래산,공영,노외,부산광역시 영도구 와치로78,부산광역시 영도구 청학동 483-1,64,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,1200,2400,52000,현금+카드,,부산광역시 영도구청,051-419-4552,35.08595151,129.0596031,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000028,블루포트2021,공영,노외,부산광역시 영도구 봉래나루로 138,부산광역시 영도구 봉래동1가 202-1,30,2,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,300,10,300,1200,8000,160000,현금+카드,,부산광역시 영도구청,051-419-4552,35.095588,129.041131,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000029,중리산,공영,노외,부산광역시 영도구 해양힐링로 136,부산광역시 영도구 동삼동 647-8,62,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,10,0,10,0,0,0,0,현금+카드,,부산광역시 영도구청,051-419-4552,35.06589635,129.0694376,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000030,동삼하리항,공영,노외,부산광역시 영도구 하리해안길 17-5,부산광역시 영도구 동삼동 1181,82,2,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,300,10,300,1200,8000,160000,현금+카드,,부산광역시 영도구청,051-419-4552,35.06978487,129.0812787,Y,2026-04-17,3280000,부산광역시 영도구
145-1-000003,기장 1-3구역노상공영주차장,공영,노상,,부산광역시 기장군 기장읍 대라리 64-2,124,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,10,200,10,200,400,8000,0,현금,,기장군도시관리공단,051-792-4992,35.2430764921,129.2158754807,N,2026-04-16,3400000,부산광역시 기장군
145-2-000002,기장제1공영주차장,공영,노외,부산광역시 기장군 기장읍 차성동로 70,부산광역시 기장군 기장읍 동부리 280-9,100,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,200,10,200,400,8000,160000,신용카드,,기장군도시관리공단,051-792-4992,35.24403255,129.216915,N,2026-04-16,3400000,부산광역시 기장군
145-2-000001,동부근린공영주차장,공영,노외,부산광역시 기장군 기장읍 차성동로 119,부산광역시 기장군 기장읍 동부리 151-8,183,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,200,10,200,240,4700,40000,신용카드,,기장군도시관리공단,051-792-4992,35.24854274,129.2166643,N,2026-04-16,3400000,부산광역시 기장군
145-2-000007,신천리공영주차장,공영,노외,,부산광역시 기장군 기장읍 신천리 298,157,기타,5부제,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,60,0,10,200,0,4700,10000,신용카드,,기장군도시관리공단,051-792-4897,35.2429531659,129.2240292517,Y,2026-04-16,3400000,부산광역시 기장군
