관서명,구분,경찰서,주소,경도,위도
남포,지구대,부산중부,부산광역시 중구 해관로 19,129.0355743,35.1005331
영주,파출소,부산중부,부산광역시 중구 동영로 77,129.0321898,35.1118959
부평,파출소,부산중부,부산광역시 중구 보수대로44번길 27,129.0237934,35.1029882
보수,파출소,부산중부,부산광역시 중구 흑교로 77,129.0233858,35.1059774
대청,파출소,부산중부,부산광역시 중구 중구로 103-1,129.031383,35.1058736
내성,지구대,부산동래,부산광역시 동래구 동래로 109,129.0845467,35.2073095
충렬,지구대,부산동래,부산광역시 동래구 반송로 207,129.0971064,35.1996359
온천,지구대,부산동래,부산광역시 동래구 우장춘로 16,129.0704024,35.2092139
사직,지구대,부산동래,부산광역시 동래구 중앙대로1277번길 41,129.0755775,35.2007111
온천1,파출소,부산동래,부산광역시 동래구 금강로151번길 9,129.0805341,35.2222237
낙민,파출소,부산동래,부산광역시 동래구 온천천로 359,129.0924789,35.1937983
동삼,지구대,부산영도,부산광역시 영도구 태종로 618 동삼지구대,129.0732603,35.0783025
영선,지구대,부산영도,부산광역시 영도구 남항시장길 328,129.0429042,35.0877057
청학,파출소,부산영도,부산광역시 영도구 태종로 395,129.0662316,35.0919573
대교,파출소,부산영도,부산광역시 영도구 태종로 81(대교동2가),129.0400307,35.0922008
초량,지구대,부산동부,부산광역시 동구 초량상로 65번길2,129.0374912,35.1178375
수성,지구대,부산동부,부산광역시 동구 망양로 811,129.0435368,35.1348222
자성대,파출소,부산동부,부산광역시 동구 부산진성공원로 15,129.0612511,35.137399
좌천,파출소,부산동부,부산광역시 동구 중앙대로 491-4,129.0559911,35.1371963
범곡,파출소,부산동부,부산광역시 동구 범상로 10-1,129.0490605,35.1412065
양정,지구대,부산진,부산광역시 부산진구 동평로 342,129.0625784,35.1744275
부전,지구대,부산진,부산광역시 부산진구 부전로 185,129.0610789,35.1638475
서면,지구대,부산진,부산광역시 부산진구 신암로 56,129.0554752,35.1471059
당감,지구대,부산진,부산광역시 부산진구 당감로 17-1,129.0394127,35.1632758
성지,지구대,부산진,부산광역시 부산진구 성지로113번길 27,129.051664,35.1790128
가야,지구대,부산진,부산광역시 부산진구 가야공원로 10,129.0294877,35.1524669
부암,지구대,부산진,부산광역시 부산진구 신천대로 283,129.0501347,35.1671873
범천1,파출소,부산진,부산광역시 부산진구 중앙번영로 24-1,129.0618774,35.144682
전포,파출소,부산진,부산광역시 부산진구 전포대로 165,129.0649948,35.1514428
개금,파출소,부산진,부산광역시 부산진구 백양대로208번길 137,129.023249,35.1623779
송도,지구대,부산서부,부산광역시 서구 충무대로 84,129.0215041,35.0794019
구덕,지구대,부산서부,부산광역시 서구 보수대로 258-5,129.0173726,35.1171047
충무,지구대,부산서부,부산광역시 서구 임시수도기념로 36,129.0179628,35.103537
아미,파출소,부산서부,부산광역시 서구 해돋이로 267,129.0161679,35.1003098
문현,지구대,부산남부,부산광역시 남구 전포대로 20번길 47,129.069786,35.1389514
용호,지구대,부산남부,부산광역시 남구 분포로 1,129.1123879,35.1253838
대연,지구대,부산남부,부산광역시 남구 수영로 328,129.1019871,35.1378318
못골,파출소,부산남부,부산광역시 남구 진남로 46번길 37,129.0900663,35.1397859
우암,파출소,부산남부,부산광역시 남구 우암로 170,129.0781641,35.124641
용당,파출소,부산남부,부산광역시 남구 신선로 318,129.0957443,35.1145555
감만,파출소,부산남부,부산광역시 남구 우암로86,129.0808057,35.1182023
재송,지구대,부산해운대,부산광역시 해운대구 해운대로161번길 17,129.1234946,35.1839292
우동,지구대,부산해운대,부산광역시 해운대구 해운대로 398,129.1393676,35.1679437
중동,지구대,부산해운대,부산광역시 해운대구 좌동순환로433번길 32,129.1789904,35.1616835
좌동,지구대,부산해운대,부산광역시 해운대구 좌동순환로 185,129.1763922,35.1778458
반여,지구대,부산해운대,부산광역시 해운대구 선수촌로21번길 64,129.1179125,35.1974982
송정,파출소,부산해운대,부산광역시 해운대구 송정중앙로8번길 65,129.200474,35.1806727
반석,파출소,부산해운대,부산광역시 해운대구 아랫반송로 6,129.14676,35.225481
반송,파출소,부산해운대,부산광역시 해운대구 신반송로 177,129.1602239,35.2290148
반여2·3,파출소,부산해운대,부산광역시 해운대구 재반로 197,129.1304125,35.1949004
주례,지구대,부산사상,부산광역시 사상구 주례로 141,129.000941,35.1457342
학장,파출소,부산사상,부산광역시 사상구 학감대로 123번길 4,128.9877978,35.1420382
감전,지구대,부산사상,부산광역시 사상구 가야대로 39,128.977223,35.1519587
모라,파출소,부산사상,부산광역시 사상구 모라로 110번길 101,128.9963432,35.184677
삼덕,파출소,부산사상,부산광역시 사상구 삼덕로 73번길 48,128.9856044,35.1758658
엄궁,파출소,부산사상,부산광역시 사상구 낙동대로 740,128.9693874,35.1272585
부곡,지구대,부산금정,부산광역시 금정구 부곡로 136 (부곡동) 부곡지구대,129.0922918,35.2279741
장전,지구대,부산금정,부산광역시 금정구 금정로 49 (장전동) 장전지구대,129.0859692,35.229075
범어,지구대,부산금정,부산광역시 금정구 팔송로39길 56 (남산동) 범어지구대,129.0881524,35.2695886
서금,지구대,부산금정,부산광역시 금정구 반송로 482-1 (금사동) 서금지구대,129.1164862,35.2160926
팔송,파출소,부산금정,부산광역시 금정구 중앙대로 2106 (청룡동) 팔송파출소,129.0930441,35.272401
괴정,지구대,부산사하,부산광역시 사하구 낙동대로 264,128.9882493,35.0994292
하단,지구대,부산사하,부산광역시 사하구 하신중앙로 316,128.9652057,35.1044807
